sample_id	layer	missing_percent	subtype
TCGA-95-A4VP-01	mRNA	0	LUAD
TCGA-97-7546-01	mRNA	0	LUAD
TCGA-97-7552-01	mRNA	0	LUAD
TCGA-97-7553-01	mRNA	0	LUAD
TCGA-97-7554-01	mRNA	0	LUAD
TCGA-97-7937-01	mRNA	0	LUAD
TCGA-97-7938-01	mRNA	0	LUAD
TCGA-97-7941-01	mRNA	0	LUAD
TCGA-97-8179-01	mRNA	0	LUAD
TCGA-97-A4M0-01	mRNA	0	LUAD
TCGA-97-A4M2-01	mRNA	0	LUAD
TCGA-97-A4M5-01	mRNA	0	LUAD
TCGA-97-A4M6-01	mRNA	0	LUAD
TCGA-97-A4M7-01	mRNA	0	LUAD
TCGA-99-7458-01	mRNA	0	LUAD
TCGA-99-8028-01	mRNA	0	LUAD
TCGA-J2-8192-01	mRNA	0	LUAD
TCGA-J2-8194-01	mRNA	0	LUAD
TCGA-J2-A4AD-01	mRNA	0	LUAD
TCGA-J2-A4AG-01	mRNA	0	LUAD
TCGA-L4-A4E5-01	mRNA	0	LUAD
TCGA-L4-A4E6-01	mRNA	0	LUAD
TCGA-L9-A443-01	mRNA	0	LUAD
TCGA-L9-A444-01	mRNA	0	LUAD
TCGA-L9-A50W-01	mRNA	0	LUAD
TCGA-L9-A5IP-01	mRNA	0	LUAD
TCGA-L9-A743-01	mRNA	0	LUAD
TCGA-L9-A7SV-01	mRNA	0	LUAD
TCGA-L9-A8F4-01	mRNA	0	LUAD
TCGA-MN-A4N1-01	mRNA	0	LUAD
TCGA-MN-A4N4-01	mRNA	0	LUAD
TCGA-MP-A4SV-01	mRNA	0	LUAD
TCGA-MP-A4SW-01	mRNA	0	LUAD
TCGA-MP-A4SY-01	mRNA	0	LUAD
TCGA-MP-A4T4-01	mRNA	0	LUAD
TCGA-MP-A4T6-01	mRNA	0	LUAD
TCGA-MP-A4T7-01	mRNA	0	LUAD
TCGA-MP-A4T8-01	mRNA	0	LUAD
TCGA-MP-A4T9-01	mRNA	0	LUAD
TCGA-MP-A4TA-01	mRNA	0	LUAD
TCGA-MP-A4TC-01	mRNA	0	LUAD
TCGA-MP-A4TD-01	mRNA	0	LUAD
TCGA-MP-A4TE-01	mRNA	0	LUAD
TCGA-MP-A4TF-01	mRNA	0	LUAD
TCGA-MP-A4TH-01	mRNA	0	LUAD
TCGA-MP-A4TI-01	mRNA	0	LUAD
TCGA-MP-A4TJ-01	mRNA	0	LUAD
TCGA-MP-A4TK-01	mRNA	0	LUAD
TCGA-MP-A5C7-01	mRNA	0	LUAD
TCGA-NJ-A4YF-01	mRNA	0	LUAD
TCGA-NJ-A4YG-01	mRNA	0	LUAD
TCGA-NJ-A4YI-01	mRNA	0	LUAD
TCGA-NJ-A55A-01	mRNA	0	LUAD
TCGA-NJ-A55O-01	mRNA	0	LUAD
TCGA-NJ-A55R-01	mRNA	0	LUAD
TCGA-NJ-A7XG-01	mRNA	0	LUAD
TCGA-O1-A52J-01	mRNA	0	LUAD
TCGA-S2-AA1A-01	mRNA	0	LUAD
TCGA-18-4721-01	mRNA	0	LUSC
TCGA-18-5592-01	mRNA	0	LUSC
TCGA-21-5782-01	mRNA	0	LUSC
TCGA-21-5784-01	mRNA	0	LUSC
TCGA-21-5786-01	mRNA	0	LUSC
TCGA-21-5787-01	mRNA	0	LUSC
TCGA-22-4605-01	mRNA	0	LUSC
TCGA-22-4609-01	mRNA	0	LUSC
TCGA-22-5471-01	mRNA	0	LUSC
TCGA-22-5472-01	mRNA	0	LUSC
TCGA-22-5473-01	mRNA	0	LUSC
TCGA-22-5474-01	mRNA	0	LUSC
TCGA-22-5477-01	mRNA	0	LUSC
TCGA-22-5478-01	mRNA	0	LUSC
TCGA-22-5479-01	mRNA	0	LUSC
TCGA-22-5480-01	mRNA	0	LUSC
TCGA-22-5482-01	mRNA	0	LUSC
TCGA-22-5483-01	mRNA	0	LUSC
TCGA-22-5485-01	mRNA	0	LUSC
TCGA-22-5489-01	mRNA	0	LUSC
TCGA-22-5491-01	mRNA	0	LUSC
TCGA-22-5492-01	mRNA	0	LUSC
TCGA-22-A5C4-01	mRNA	0	LUSC
TCGA-33-4566-01	mRNA	0	LUSC
TCGA-33-4582-01	mRNA	0	LUSC
TCGA-33-4586-01	mRNA	0	LUSC
TCGA-33-4589-01	mRNA	0	LUSC
TCGA-33-6738-01	mRNA	0	LUSC
TCGA-33-A4WN-01	mRNA	0	LUSC
TCGA-33-A5GW-01	mRNA	0	LUSC
TCGA-33-AASB-01	mRNA	0	LUSC
TCGA-33-AASD-01	mRNA	0	LUSC
TCGA-33-AASI-01	mRNA	0	LUSC
TCGA-33-AASJ-01	mRNA	0	LUSC
TCGA-34-5231-01	mRNA	0	LUSC
TCGA-34-5232-01	mRNA	0	LUSC
TCGA-34-5234-01	mRNA	0	LUSC
TCGA-34-5236-01	mRNA	0	LUSC
TCGA-34-5239-01	mRNA	0	LUSC
TCGA-34-5241-01	mRNA	0	LUSC
TCGA-34-5927-01	mRNA	0	LUSC
TCGA-34-5928-01	mRNA	0	LUSC
TCGA-34-5929-01	mRNA	0	LUSC
TCGA-34-7107-01	mRNA	0	LUSC
TCGA-34-8454-01	mRNA	0	LUSC
TCGA-34-8455-01	mRNA	0	LUSC
TCGA-34-8456-01	mRNA	0	LUSC
TCGA-34-A5IX-01	mRNA	0	LUSC
TCGA-37-5819-01	mRNA	0	LUSC
TCGA-37-A5EL-01	mRNA	0	LUSC
TCGA-37-A5EN-01	mRNA	0	LUSC
TCGA-39-5011-01	mRNA	0	LUSC
TCGA-39-5016-01	mRNA	0	LUSC
TCGA-39-5019-01	mRNA	0	LUSC
TCGA-39-5021-01	mRNA	0	LUSC
TCGA-39-5022-01	mRNA	0	LUSC
TCGA-39-5024-01	mRNA	0	LUSC
TCGA-39-5027-01	mRNA	0	LUSC
TCGA-39-5028-01	mRNA	0	LUSC
TCGA-39-5029-01	mRNA	0	LUSC
TCGA-39-5030-01	mRNA	0	LUSC
TCGA-39-5031-01	mRNA	0	LUSC
TCGA-39-5034-01	mRNA	0	LUSC
TCGA-39-5035-01	mRNA	0	LUSC
TCGA-39-5037-01	mRNA	0	LUSC
TCGA-39-5040-01	mRNA	0	LUSC
TCGA-43-5668-01	mRNA	0	LUSC
TCGA-43-5670-01	mRNA	0	LUSC
TCGA-43-6143-01	mRNA	0	LUSC
TCGA-43-6770-01	mRNA	0	LUSC
TCGA-43-6771-01	mRNA	0	LUSC
TCGA-43-7656-01	mRNA	0	LUSC
TCGA-43-7658-01	mRNA	0	LUSC
TCGA-43-8115-01	mRNA	0	LUSC
TCGA-43-8118-01	mRNA	0	LUSC
TCGA-43-A474-01	mRNA	0	LUSC
TCGA-43-A475-01	mRNA	0	LUSC
TCGA-43-A56V-01	mRNA	0	LUSC
TCGA-46-6025-01	mRNA	0	LUSC
TCGA-46-6026-01	mRNA	0	LUSC
TCGA-52-7810-01	mRNA	0	LUSC
TCGA-52-7811-01	mRNA	0	LUSC
TCGA-52-7812-01	mRNA	0	LUSC
TCGA-56-5897-01	mRNA	0	LUSC
TCGA-56-5898-01	mRNA	0	LUSC
TCGA-56-6545-01	mRNA	0	LUSC
TCGA-56-6546-01	mRNA	0	LUSC
TCGA-56-7221-01	mRNA	0	LUSC
TCGA-56-7222-01	mRNA	0	LUSC
TCGA-56-7730-01	mRNA	0	LUSC
TCGA-56-8083-01	mRNA	0	LUSC
TCGA-56-8309-01	mRNA	0	LUSC
TCGA-56-A4BX-01	mRNA	0	LUSC
TCGA-56-A5DS-01	mRNA	0	LUSC
TCGA-58-8386-01	mRNA	0	LUSC
TCGA-58-8388-01	mRNA	0	LUSC
TCGA-58-8391-01	mRNA	0	LUSC
TCGA-58-8392-01	mRNA	0	LUSC
TCGA-58-8393-01	mRNA	0	LUSC
TCGA-58-A46J-01	mRNA	0	LUSC
TCGA-58-A46K-01	mRNA	0	LUSC
TCGA-58-A46L-01	mRNA	0	LUSC
TCGA-58-A46M-01	mRNA	0	LUSC
TCGA-58-A46N-01	mRNA	0	LUSC
TCGA-60-2697-01	mRNA	0	LUSC
TCGA-60-2703-01	mRNA	0	LUSC
TCGA-60-2704-01	mRNA	0	LUSC
TCGA-60-2709-01	mRNA	0	LUSC
TCGA-63-5128-01	mRNA	0	LUSC
TCGA-63-5131-01	mRNA	0	LUSC
TCGA-63-6202-01	mRNA	0	LUSC
TCGA-63-7020-01	mRNA	0	LUSC
TCGA-63-7021-01	mRNA	0	LUSC
TCGA-63-7022-01	mRNA	0	LUSC
TCGA-63-7023-01	mRNA	0	LUSC
TCGA-63-A5MB-01	mRNA	0	LUSC
TCGA-63-A5MG-01	mRNA	0	LUSC
TCGA-63-A5MI-01	mRNA	0	LUSC
TCGA-63-A5MJ-01	mRNA	0	LUSC
TCGA-63-A5ML-01	mRNA	0	LUSC
TCGA-63-A5MM-01	mRNA	0	LUSC
TCGA-63-A5MN-01	mRNA	0	LUSC
TCGA-63-A5MP-01	mRNA	0	LUSC
TCGA-63-A5MS-01	mRNA	0	LUSC
TCGA-63-A5MT-01	mRNA	0	LUSC
TCGA-63-A5MU-01	mRNA	0	LUSC
TCGA-63-A5MV-01	mRNA	0	LUSC
TCGA-63-A5MY-01	mRNA	0	LUSC
TCGA-68-7756-01	mRNA	0	LUSC
TCGA-68-7757-01	mRNA	0	LUSC
TCGA-68-A59I-01	mRNA	0	LUSC
TCGA-68-A59J-01	mRNA	0	LUSC
TCGA-70-6722-01	mRNA	0	LUSC
TCGA-70-6723-01	mRNA	0	LUSC
TCGA-77-6842-01	mRNA	0	LUSC
TCGA-77-6843-01	mRNA	0	LUSC
TCGA-77-6844-01	mRNA	0	LUSC
TCGA-77-6845-01	mRNA	0	LUSC
TCGA-77-7139-01	mRNA	0	LUSC
TCGA-77-7141-01	mRNA	0	LUSC
TCGA-77-7142-01	mRNA	0	LUSC
TCGA-77-7335-01	mRNA	0	LUSC
TCGA-77-7337-01	mRNA	0	LUSC
TCGA-77-7338-01	mRNA	0	LUSC
TCGA-77-7463-01	mRNA	0	LUSC
TCGA-77-7465-01	mRNA	0	LUSC
TCGA-77-8143-01	mRNA	0	LUSC
TCGA-77-8150-01	mRNA	0	LUSC
TCGA-77-8153-01	mRNA	0	LUSC
TCGA-77-8154-01	mRNA	0	LUSC
TCGA-77-A5FZ-01	mRNA	0	LUSC
TCGA-77-A5G1-01	mRNA	0	LUSC
TCGA-77-A5G3-01	mRNA	0	LUSC
TCGA-77-A5G6-01	mRNA	0	LUSC
TCGA-77-A5GF-01	mRNA	0	LUSC
TCGA-77-A5GH-01	mRNA	0	LUSC
TCGA-79-5596-01	mRNA	0	LUSC
TCGA-85-6175-01	mRNA	0	LUSC
TCGA-85-6560-01	mRNA	0	LUSC
TCGA-85-6561-01	mRNA	0	LUSC
TCGA-85-6798-01	mRNA	0	LUSC
TCGA-85-7696-01	mRNA	0	LUSC
TCGA-85-7697-01	mRNA	0	LUSC
TCGA-85-7698-01	mRNA	0	LUSC
TCGA-85-7699-01	mRNA	0	LUSC
TCGA-85-7710-01	mRNA	0	LUSC
TCGA-85-7843-01	mRNA	0	LUSC
TCGA-85-7844-01	mRNA	0	LUSC
TCGA-85-7950-01	mRNA	0	LUSC
TCGA-85-8048-01	mRNA	0	LUSC
TCGA-85-8049-01	mRNA	0	LUSC
TCGA-85-8072-01	mRNA	0	LUSC
TCGA-85-8276-01	mRNA	0	LUSC
TCGA-85-8287-01	mRNA	0	LUSC
TCGA-85-8288-01	mRNA	0	LUSC
TCGA-85-8350-01	mRNA	0	LUSC
TCGA-85-8351-01	mRNA	0	LUSC
TCGA-85-8352-01	mRNA	0	LUSC
TCGA-85-8353-01	mRNA	0	LUSC
TCGA-85-8355-01	mRNA	0	LUSC
TCGA-85-8479-01	mRNA	0	LUSC
TCGA-85-8580-01	mRNA	0	LUSC
TCGA-85-8664-01	mRNA	0	LUSC
TCGA-85-8666-01	mRNA	0	LUSC
TCGA-85-A4CL-01	mRNA	0	LUSC
TCGA-85-A4CN-01	mRNA	0	LUSC
TCGA-85-A4JB-01	mRNA	0	LUSC
TCGA-85-A4JC-01	mRNA	0	LUSC
TCGA-85-A4PA-01	mRNA	0	LUSC
TCGA-85-A4QQ-01	mRNA	0	LUSC
TCGA-85-A4QR-01	mRNA	0	LUSC
TCGA-85-A50Z-01	mRNA	0	LUSC
TCGA-85-A510-01	mRNA	0	LUSC
TCGA-85-A511-01	mRNA	0	LUSC
TCGA-85-A512-01	mRNA	0	LUSC
TCGA-85-A513-01	mRNA	0	LUSC
TCGA-85-A53L-01	mRNA	0	LUSC
TCGA-85-A5B5-01	mRNA	0	LUSC
TCGA-90-6837-01	mRNA	0	LUSC
TCGA-90-7766-01	mRNA	0	LUSC
TCGA-90-7767-01	mRNA	0	LUSC
TCGA-90-7769-01	mRNA	0	LUSC
TCGA-90-A4ED-01	mRNA	0	LUSC
TCGA-90-A4EE-01	mRNA	0	LUSC
TCGA-90-A59Q-01	mRNA	0	LUSC
TCGA-92-7340-01	mRNA	0	LUSC
TCGA-94-7033-01	mRNA	0	LUSC
TCGA-94-7557-01	mRNA	0	LUSC
TCGA-94-7943-01	mRNA	0	LUSC
TCGA-94-8035-01	mRNA	0	LUSC
TCGA-94-8490-01	mRNA	0	LUSC
TCGA-94-8491-01	mRNA	0	LUSC
TCGA-94-A4VJ-01	mRNA	0	LUSC
TCGA-94-A5I4-01	mRNA	0	LUSC
TCGA-94-A5I6-01	mRNA	0	LUSC
TCGA-96-7544-01	mRNA	0	LUSC
TCGA-96-A4JL-01	mRNA	0	LUSC
TCGA-98-7454-01	mRNA	0	LUSC
TCGA-98-A538-01	mRNA	0	LUSC
TCGA-98-A539-01	mRNA	0	LUSC
TCGA-98-A53A-01	mRNA	0	LUSC
TCGA-98-A53B-01	mRNA	0	LUSC
TCGA-98-A53C-01	mRNA	0	LUSC
TCGA-98-A53H-01	mRNA	0	LUSC
TCGA-98-A53J-01	mRNA	0	LUSC
TCGA-L3-A4E7-01	mRNA	0	LUSC
TCGA-L3-A524-01	mRNA	0	LUSC
TCGA-LA-A446-01	mRNA	0	LUSC
TCGA-LA-A7SW-01	mRNA	0	LUSC
TCGA-MF-A522-01	mRNA	0	LUSC
TCGA-NC-A5HD-01	mRNA	0	LUSC
TCGA-NC-A5HE-01	mRNA	0	LUSC
TCGA-NC-A5HF-01	mRNA	0	LUSC
TCGA-NC-A5HI-01	mRNA	0	LUSC
TCGA-NC-A5HJ-01	mRNA	0	LUSC
TCGA-NC-A5HK-01	mRNA	0	LUSC
TCGA-NC-A5HL-01	mRNA	0	LUSC
TCGA-NC-A5HM-01	mRNA	0	LUSC
TCGA-NC-A5HN-01	mRNA	0	LUSC
TCGA-NC-A5HO-01	mRNA	0	LUSC
TCGA-NC-A5HP-01	mRNA	0	LUSC
TCGA-NC-A5HQ-01	mRNA	0	LUSC
TCGA-NC-A5HR-01	mRNA	0	LUSC
TCGA-NC-A5HT-01	mRNA	0	LUSC
TCGA-NK-A5CR-01	mRNA	0	LUSC
TCGA-NK-A5CT-01	mRNA	0	LUSC
TCGA-NK-A7XE-01	mRNA	0	LUSC
TCGA-O2-A52N-01	mRNA	0	LUSC
TCGA-O2-A52Q-01	mRNA	0	LUSC
