layer	PC	percent_variance
mRNA	PC173	0.11
mRNA	PC174	0.11
mRNA	PC175	0.11
mRNA	PC176	0.11
mRNA	PC177	0.11
mRNA	PC178	0.1
mRNA	PC179	0.1
mRNA	PC180	0.1
mRNA	PC181	0.1
mRNA	PC182	0.1
mRNA	PC183	0.1
mRNA	PC184	0.1
mRNA	PC185	0.1
mRNA	PC186	0.1
mRNA	PC187	0.1
mRNA	PC188	0.1
mRNA	PC189	0.1
mRNA	PC190	0.1
mRNA	PC191	0.1
mRNA	PC192	0.1
mRNA	PC193	0.1
mRNA	PC194	0.1
mRNA	PC195	0.1
mRNA	PC196	0.09
mRNA	PC197	0.09
mRNA	PC198	0.09
mRNA	PC199	0.09
mRNA	PC200	0.09
mRNA	PC201	0.09
mRNA	PC202	0.09
mRNA	PC203	0.09
mRNA	PC204	0.09
mRNA	PC205	0.09
mRNA	PC206	0.09
mRNA	PC207	0.09
mRNA	PC208	0.09
mRNA	PC209	0.09
mRNA	PC210	0.09
mRNA	PC211	0.09
mRNA	PC212	0.09
mRNA	PC213	0.08
mRNA	PC214	0.08
mRNA	PC215	0.08
mRNA	PC216	0.08
mRNA	PC217	0.08
mRNA	PC218	0.08
mRNA	PC219	0.08
mRNA	PC220	0.08
mRNA	PC221	0.08
mRNA	PC222	0.08
mRNA	PC223	0.08
mRNA	PC224	0.08
mRNA	PC225	0.08
mRNA	PC226	0.08
mRNA	PC227	0.08
mRNA	PC228	0.08
mRNA	PC229	0.08
mRNA	PC230	0.08
mRNA	PC231	0.08
mRNA	PC232	0.08
mRNA	PC233	0.08
mRNA	PC234	0.08
mRNA	PC235	0.07
mRNA	PC236	0.07
mRNA	PC237	0.07
mRNA	PC238	0.07
mRNA	PC239	0.07
mRNA	PC240	0.07
mRNA	PC241	0.07
mRNA	PC242	0.07
mRNA	PC243	0.07
mRNA	PC244	0.07
mRNA	PC245	0.07
mRNA	PC246	0.07
mRNA	PC247	0.07
mRNA	PC248	0.07
mRNA	PC249	0.07
mRNA	PC250	0.07
mRNA	PC251	0.07
mRNA	PC252	0.07
mRNA	PC253	0.07
mRNA	PC254	0.07
mRNA	PC255	0.07
mRNA	PC256	0.07
mRNA	PC257	0.07
mRNA	PC258	0.07
mRNA	PC259	0.07
mRNA	PC260	0.06
mRNA	PC261	0.06
mRNA	PC262	0.06
mRNA	PC263	0.06
mRNA	PC264	0.06
mRNA	PC265	0.06
mRNA	PC266	0.06
mRNA	PC267	0.06
mRNA	PC268	0.06
mRNA	PC269	0.06
mRNA	PC270	0.06
mRNA	PC271	0.06
mRNA	PC272	0.06
mRNA	PC273	0.06
mRNA	PC274	0.06
mRNA	PC275	0.06
mRNA	PC276	0.06
mRNA	PC277	0.06
mRNA	PC278	0.06
mRNA	PC279	0.06
mRNA	PC280	0.06
mRNA	PC281	0.06
mRNA	PC282	0.06
mRNA	PC283	0.06
mRNA	PC284	0.06
mRNA	PC285	0.06
mRNA	PC286	0.06
mRNA	PC287	0.06
mRNA	PC288	0.06
mRNA	PC289	0.05
mRNA	PC290	0.05
mRNA	PC291	0.05
mRNA	PC292	0.05
mRNA	PC293	0.05
mRNA	PC294	0.05
mRNA	PC295	0.05
mRNA	PC296	0.05
mRNA	PC297	0.05
mRNA	PC298	0.05
mRNA	PC299	0.05
mRNA	PC300	0.05
mRNA	PC301	0.05
mRNA	PC302	0.05
mRNA	PC303	0.05
mRNA	PC304	0.05
mRNA	PC305	0.05
mRNA	PC306	0.05
