layer	PC	percent_variance
DNA methylation	PC41	0.22
DNA methylation	PC42	0.22
DNA methylation	PC43	0.21
DNA methylation	PC44	0.21
DNA methylation	PC45	0.21
DNA methylation	PC46	0.21
DNA methylation	PC47	0.2
DNA methylation	PC48	0.2
DNA methylation	PC49	0.2
DNA methylation	PC50	0.2
DNA methylation	PC51	0.19
DNA methylation	PC52	0.19
DNA methylation	PC53	0.19
DNA methylation	PC54	0.19
DNA methylation	PC55	0.19
DNA methylation	PC56	0.18
DNA methylation	PC57	0.18
DNA methylation	PC58	0.18
DNA methylation	PC59	0.18
DNA methylation	PC60	0.17
DNA methylation	PC61	0.17
DNA methylation	PC62	0.17
DNA methylation	PC63	0.17
DNA methylation	PC64	0.17
DNA methylation	PC65	0.17
