fused_feature	layer	original_feature	fold
METH__SLC13A5.4	DNA methylation	SLC13A5.4	3
METH__TTYH1.2	DNA methylation	TTYH1.2	3
METH__MRPL33.5	DNA methylation	MRPL33.5	3
METH__feature_332674	DNA methylation	feature_332674	3
METH__TNR.30	DNA methylation	TNR.30	3
METH__feature_62407	DNA methylation	feature_62407	3
METH__TNXB.59	DNA methylation	TNXB.59	3
METH__TSC22D4.3	DNA methylation	TSC22D4.3	3
METH__MSI2.74	DNA methylation	MSI2.74	3
METH__KIF19	DNA methylation	KIF19	3
METH__feature_314067	DNA methylation	feature_314067	3
METH__SIM2.5	DNA methylation	SIM2.5	3
METH__LOC440335;SEPT12.2	DNA methylation	LOC440335;SEPT12.2	3
METH__ITPKB.49	DNA methylation	ITPKB.49	3
METH__NKX2-3.9	DNA methylation	NKX2-3.9	3
METH__feature_208887	DNA methylation	feature_208887	3
METH__MACROD1.36	DNA methylation	MACROD1.36	3
METH__CACNA1A.32	DNA methylation	CACNA1A.32	3
METH__feature_77790	DNA methylation	feature_77790	3
METH__RASSF1.36	DNA methylation	RASSF1.36	3
METH__LMO2.5	DNA methylation	LMO2.5	3
METH__C11orf41.13	DNA methylation	C11orf41.13	3
METH__feature_199545	DNA methylation	feature_199545	3
METH__XRCC3.19	DNA methylation	XRCC3.19	3
METH__EBF3.144	DNA methylation	EBF3.144	3
METH__feature_376387	DNA methylation	feature_376387	3
METH__feature_322176	DNA methylation	feature_322176	3
METH__feature_267536	DNA methylation	feature_267536	3
METH__SLC8A3.27	DNA methylation	SLC8A3.27	3
METH__NXPH4.5	DNA methylation	NXPH4.5	3
METH__FLJ45983;GATA3.28	DNA methylation	FLJ45983;GATA3.28	3
METH__CCDC110.2	DNA methylation	CCDC110.2	3
METH__ST18.9	DNA methylation	ST18.9	3
METH__PDZD4.31	DNA methylation	PDZD4.31	3
METH__feature_363061	DNA methylation	feature_363061	3
METH__IKZF4.8	DNA methylation	IKZF4.8	3
METH__BHLHB9.15	DNA methylation	BHLHB9.15	3
METH__JAKMIP3.3	DNA methylation	JAKMIP3.3	3
METH__NAP1L6.2	DNA methylation	NAP1L6.2	3
METH__MUC5B.41	DNA methylation	MUC5B.41	3
METH__feature_199744	DNA methylation	feature_199744	3
METH__CUGBP2.11	DNA methylation	CUGBP2.11	3
METH__feature_299788	DNA methylation	feature_299788	3
METH__CABLES1.2	DNA methylation	CABLES1.2	3
METH__FMN2.33	DNA methylation	FMN2.33	3
METH__PTPRN2.904	DNA methylation	PTPRN2.904	3
METH__SPRED3.3	DNA methylation	SPRED3.3	3
METH__RASSF1.46	DNA methylation	RASSF1.46	3
METH__feature_329906	DNA methylation	feature_329906	3
METH__CREB5.70	DNA methylation	CREB5.70	3
METH__feature_1094	DNA methylation	feature_1094	3
METH__TGIF2LX.3	DNA methylation	TGIF2LX.3	3
METH__FAM104B.4	DNA methylation	FAM104B.4	3
METH__feature_188490	DNA methylation	feature_188490	3
METH__CDH11.17	DNA methylation	CDH11.17	3
METH__RPL36A.10	DNA methylation	RPL36A.10	3
METH__feature_1429	DNA methylation	feature_1429	3
METH__WNK2.4	DNA methylation	WNK2.4	3
METH__B3GNTL1.18	DNA methylation	B3GNTL1.18	3
METH__GRWD1;GRIN2D	DNA methylation	GRWD1;GRIN2D	3
METH__NIPAL4.7	DNA methylation	NIPAL4.7	3
METH__ZNF185	DNA methylation	ZNF185	3
METH__feature_237918	DNA methylation	feature_237918	3
METH__feature_256457	DNA methylation	feature_256457	3
METH__EN2.3	DNA methylation	EN2.3	3
METH__EPS8L1.13	DNA methylation	EPS8L1.13	3
METH__feature_23816	DNA methylation	feature_23816	3
METH__feature_204611	DNA methylation	feature_204611	3
METH__feature_295795	DNA methylation	feature_295795	3
METH__feature_197286	DNA methylation	feature_197286	3
METH__feature_202443	DNA methylation	feature_202443	3
METH__DCAF12L2.3	DNA methylation	DCAF12L2.3	3
METH__CNTNAP2.17	DNA methylation	CNTNAP2.17	3
METH__feature_41932	DNA methylation	feature_41932	3
METH__FLJ45983;GATA3.23	DNA methylation	FLJ45983;GATA3.23	3
METH__SPSB1.39	DNA methylation	SPSB1.39	3
METH__feature_168414	DNA methylation	feature_168414	3
METH__feature_12786	DNA methylation	feature_12786	3
METH__CETN2;NSDHL.12	DNA methylation	CETN2;NSDHL.12	3
METH__DLX6AS.20	DNA methylation	DLX6AS.20	3
METH__feature_221838	DNA methylation	feature_221838	3
METH__SLC17A9.17	DNA methylation	SLC17A9.17	3
METH__NPAS4.7	DNA methylation	NPAS4.7	3
METH__LPP.49	DNA methylation	LPP.49	3
METH__BLID;LOC399959.2	DNA methylation	BLID;LOC399959.2	3
METH__ADARB2.260	DNA methylation	ADARB2.260	3
METH__OTX2OS1.9	DNA methylation	OTX2OS1.9	3
METH__GCET2.6	DNA methylation	GCET2.6	3
METH__feature_196082	DNA methylation	feature_196082	3
METH__feature_292944	DNA methylation	feature_292944	3
METH__HOXA1.11	DNA methylation	HOXA1.11	3
METH__AHRR.68	DNA methylation	AHRR.68	3
METH__CAMTA1.59	DNA methylation	CAMTA1.59	3
METH__feature_298714	DNA methylation	feature_298714	3
METH__MAGI1.27	DNA methylation	MAGI1.27	3
METH__PTPRN2.227	DNA methylation	PTPRN2.227	3
METH__MEIS1.42	DNA methylation	MEIS1.42	3
METH__feature_103815	DNA methylation	feature_103815	3
METH__PFKP.13	DNA methylation	PFKP.13	3
METH__GALR1.28	DNA methylation	GALR1.28	3
METH__SACS.23	DNA methylation	SACS.23	3
METH__RCN3.8	DNA methylation	RCN3.8	3
METH__CCM2	DNA methylation	CCM2	3
METH__RIMBP2.92	DNA methylation	RIMBP2.92	3
METH__feature_159573	DNA methylation	feature_159573	3
METH__PRPS2.6	DNA methylation	PRPS2.6	3
METH__GRIA4	DNA methylation	GRIA4	3
METH__C11orf75.10	DNA methylation	C11orf75.10	3
METH__LPP.9	DNA methylation	LPP.9	3
METH__CASP8.17	DNA methylation	CASP8.17	3
METH__PTPRN2.136	DNA methylation	PTPRN2.136	3
METH__AGRN.2	DNA methylation	AGRN.2	3
METH__FLG2	DNA methylation	FLG2	3
METH__feature_145228	DNA methylation	feature_145228	3
METH__UCN3.5	DNA methylation	UCN3.5	3
METH__feature_289019	DNA methylation	feature_289019	3
METH__MGRN1.8	DNA methylation	MGRN1.8	3
METH__MYO10.54	DNA methylation	MYO10.54	3
METH__feature_206292	DNA methylation	feature_206292	3
METH__KCNQ2.59	DNA methylation	KCNQ2.59	3
METH__feature_341459	DNA methylation	feature_341459	3
METH__ZNF177.8	DNA methylation	ZNF177.8	3
METH__DRD4.17	DNA methylation	DRD4.17	3
METH__feature_390336	DNA methylation	feature_390336	3
METH__feature_109127	DNA methylation	feature_109127	3
METH__C7orf50.175	DNA methylation	C7orf50.175	3
METH__feature_326499	DNA methylation	feature_326499	3
METH__C5orf38.11	DNA methylation	C5orf38.11	3
METH__feature_116530	DNA methylation	feature_116530	3
METH__feature_322211	DNA methylation	feature_322211	3
METH__EBF4.4	DNA methylation	EBF4.4	3
METH__EBF1.13	DNA methylation	EBF1.13	3
METH__POU4F1.16	DNA methylation	POU4F1.16	3
METH__GRASP.4	DNA methylation	GRASP.4	3
METH__feature_26502	DNA methylation	feature_26502	3
METH__feature_213856	DNA methylation	feature_213856	3
METH__PM20D1.5	DNA methylation	PM20D1.5	3
METH__MAP7D3.13	DNA methylation	MAP7D3.13	3
METH__BCOR.88	DNA methylation	BCOR.88	3
METH__PAX6.66	DNA methylation	PAX6.66	3
METH__GDF6.10	DNA methylation	GDF6.10	3
METH__feature_96084	DNA methylation	feature_96084	3
METH__HRNBP3.85	DNA methylation	HRNBP3.85	3
METH__SEPHS2.1	DNA methylation	SEPHS2.1	3
METH__ANKRD45.4	DNA methylation	ANKRD45.4	3
METH__CACNA1H.91	DNA methylation	CACNA1H.91	3
METH__MTM1.6	DNA methylation	MTM1.6	3
METH__LOC100292680.1	DNA methylation	LOC100292680.1	3
METH__feature_132388	DNA methylation	feature_132388	3
METH__HCK.12	DNA methylation	HCK.12	3
METH__MAGEH1.5	DNA methylation	MAGEH1.5	3
METH__GDF10.3	DNA methylation	GDF10.3	3
METH__IRS4.6	DNA methylation	IRS4.6	3
METH__KNDC1.38	DNA methylation	KNDC1.38	3
METH__CYTH2.3	DNA methylation	CYTH2.3	3
METH__OLIG1.9	DNA methylation	OLIG1.9	3
METH__PPP1R14A.15	DNA methylation	PPP1R14A.15	3
METH__ZNF154	DNA methylation	ZNF154	3
METH__ZNF673.7	DNA methylation	ZNF673.7	3
METH__CCL11.4	DNA methylation	CCL11.4	3
METH__OXT.5	DNA methylation	OXT.5	3
METH__GPR133.24	DNA methylation	GPR133.24	3
METH__FANCA.6	DNA methylation	FANCA.6	3
METH__ONECUT1.22	DNA methylation	ONECUT1.22	3
METH__ESPN.26	DNA methylation	ESPN.26	3
METH__DLX5.14	DNA methylation	DLX5.14	3
METH__PM20D1.7	DNA methylation	PM20D1.7	3
METH__CUGBP2.75	DNA methylation	CUGBP2.75	3
METH__feature_373812	DNA methylation	feature_373812	3
METH__feature_311908	DNA methylation	feature_311908	3
METH__feature_82118	DNA methylation	feature_82118	3
METH__feature_382376	DNA methylation	feature_382376	3
METH__feature_349426	DNA methylation	feature_349426	3
METH__MMP2.12	DNA methylation	MMP2.12	3
METH__DCAF12L2.4	DNA methylation	DCAF12L2.4	3
METH__SHROOM4.4	DNA methylation	SHROOM4.4	3
METH__THBS2.14	DNA methylation	THBS2.14	3
METH__feature_381738	DNA methylation	feature_381738	3
METH__CYBA.15	DNA methylation	CYBA.15	3
METH__SORCS1.4	DNA methylation	SORCS1.4	3
METH__SLC1A3.21	DNA methylation	SLC1A3.21	3
METH__POU3F4.3	DNA methylation	POU3F4.3	3
METH__SP9.15	DNA methylation	SP9.15	3
METH__ASPG.6	DNA methylation	ASPG.6	3
METH__EPB41L3.5	DNA methylation	EPB41L3.5	3
METH__SYP.8	DNA methylation	SYP.8	3
METH__LRRC27.6	DNA methylation	LRRC27.6	3
METH__C1QL1.16	DNA methylation	C1QL1.16	3
METH__feature_39843	DNA methylation	feature_39843	3
METH__AHRR.44	DNA methylation	AHRR.44	3
METH__WIPI2	DNA methylation	WIPI2	3
METH__IRX1.13	DNA methylation	IRX1.13	3
METH__AXIN2.7	DNA methylation	AXIN2.7	3
METH__MMP23B;MMP23A.2	DNA methylation	MMP23B;MMP23A.2	3
METH__PTPRN2.979	DNA methylation	PTPRN2.979	3
METH__feature_41615	DNA methylation	feature_41615	3
METH__SOX2;SOX2OT.7	DNA methylation	SOX2;SOX2OT.7	3
METH__feature_136655	DNA methylation	feature_136655	3
METH__HMGB3.7	DNA methylation	HMGB3.7	3
METH__HOXA4.15	DNA methylation	HOXA4.15	3
METH__feature_142607	DNA methylation	feature_142607	3
METH__feature_256865	DNA methylation	feature_256865	3
METH__feature_252256	DNA methylation	feature_252256	3
METH__HMGB3.6	DNA methylation	HMGB3.6	3
METH__LMX1A.38	DNA methylation	LMX1A.38	3
METH__MIR196B.10	DNA methylation	MIR196B.10	3
METH__C1orf55.4	DNA methylation	C1orf55.4	3
METH__PTPRN.5	DNA methylation	PTPRN.5	3
METH__feature_248815	DNA methylation	feature_248815	3
METH__feature_251115	DNA methylation	feature_251115	3
METH__BBX.8	DNA methylation	BBX.8	3
METH__RBM10;NDUFB11.5	DNA methylation	RBM10;NDUFB11.5	3
METH__CUX1.95	DNA methylation	CUX1.95	3
METH__feature_62092	DNA methylation	feature_62092	3
METH__CFTR.8	DNA methylation	CFTR.8	3
METH__ASCL1.13	DNA methylation	ASCL1.13	3
METH__GCK.10	DNA methylation	GCK.10	3
METH__C7orf50.113	DNA methylation	C7orf50.113	3
METH__ASAP2.20	DNA methylation	ASAP2.20	3
METH__C1orf87	DNA methylation	C1orf87	3
METH__HLA-DPB1.26	DNA methylation	HLA-DPB1.26	3
METH__DCPS.9	DNA methylation	DCPS.9	3
METH__NRXN2.25	DNA methylation	NRXN2.25	3
METH__INSM2.11	DNA methylation	INSM2.11	3
METH__EMX2OS;EMX2.13	DNA methylation	EMX2OS;EMX2.13	3
METH__TNFAIP8L3.7	DNA methylation	TNFAIP8L3.7	3
METH__JAKMIP3.70	DNA methylation	JAKMIP3.70	3
METH__MRGPRF.27	DNA methylation	MRGPRF.27	3
METH__feature_151615	DNA methylation	feature_151615	3
METH__TMEM49	DNA methylation	TMEM49	3
METH__MUC5B.35	DNA methylation	MUC5B.35	3
METH__BCAN.15	DNA methylation	BCAN.15	3
METH__SECTM1.13	DNA methylation	SECTM1.13	3
METH__C7orf50.43	DNA methylation	C7orf50.43	3
METH__feature_344361	DNA methylation	feature_344361	3
METH__GLO1.6	DNA methylation	GLO1.6	3
METH__feature_102733	DNA methylation	feature_102733	3
METH__ANO1.4	DNA methylation	ANO1.4	3
METH__DNASE1L1;TAFAZZIN.2	DNA methylation	DNASE1L1;TAFAZZIN.2	3
METH__TAOK3.3	DNA methylation	TAOK3.3	3
METH__feature_254710	DNA methylation	feature_254710	3
METH__HCCS.7	DNA methylation	HCCS.7	3
METH__feature_168374	DNA methylation	feature_168374	3
METH__ZNF582.5	DNA methylation	ZNF582.5	3
METH__MTMR1.14	DNA methylation	MTMR1.14	3
METH__NEDD4L.34	DNA methylation	NEDD4L.34	3
METH__TBX5.12	DNA methylation	TBX5.12	3
METH__GREM2.7	DNA methylation	GREM2.7	3
METH__DRD4	DNA methylation	DRD4	3
METH__EVX2.3	DNA methylation	EVX2.3	3
METH__NPTN.5	DNA methylation	NPTN.5	3
METH__IGF1R.104	DNA methylation	IGF1R.104	3
METH__SCARA5.14	DNA methylation	SCARA5.14	3
METH__AMMECR1.7	DNA methylation	AMMECR1.7	3
METH__TBKBP1.13	DNA methylation	TBKBP1.13	3
METH__feature_279052	DNA methylation	feature_279052	3
METH__ADARB2.112	DNA methylation	ADARB2.112	3
METH__feature_392789	DNA methylation	feature_392789	3
METH__EMID2.16	DNA methylation	EMID2.16	3
METH__TLX1.17	DNA methylation	TLX1.17	3
METH__LPAR3.3	DNA methylation	LPAR3.3	3
METH__feature_265581	DNA methylation	feature_265581	3
METH__GRM7.16	DNA methylation	GRM7.16	3
METH__feature_3828	DNA methylation	feature_3828	3
METH__feature_122142	DNA methylation	feature_122142	3
METH__EXPH5.27	DNA methylation	EXPH5.27	3
METH__TNXB.245	DNA methylation	TNXB.245	3
METH__SCGN.7	DNA methylation	SCGN.7	3
METH__MAP4K1;EIF3K.11	DNA methylation	MAP4K1;EIF3K.11	3
METH__SLC22A16.1	DNA methylation	SLC22A16.1	3
METH__MORN1.52	DNA methylation	MORN1.52	3
METH__feature_170683	DNA methylation	feature_170683	3
METH__IGF2BP1.30	DNA methylation	IGF2BP1.30	3
METH__feature_228088	DNA methylation	feature_228088	3
METH__CCDC151.1	DNA methylation	CCDC151.1	3
METH__OBP2A	DNA methylation	OBP2A	3
METH__feature_342753	DNA methylation	feature_342753	3
METH__LOC349114.20	DNA methylation	LOC349114.20	3
METH__feature_149776	DNA methylation	feature_149776	3
METH__feature_190791	DNA methylation	feature_190791	3
METH__PPP1R3F.6	DNA methylation	PPP1R3F.6	3
METH__ZNF671.3	DNA methylation	ZNF671.3	3
METH__NPBWR1.11	DNA methylation	NPBWR1.11	3
METH__CACNG8;MIR935.1	DNA methylation	CACNG8;MIR935.1	3
METH__feature_286672	DNA methylation	feature_286672	3
METH__KRT222.8	DNA methylation	KRT222.8	3
METH__feature_294550	DNA methylation	feature_294550	3
METH__ELMO1.12	DNA methylation	ELMO1.12	3
METH__feature_71955	DNA methylation	feature_71955	3
METH__feature_367699	DNA methylation	feature_367699	3
METH__feature_39413	DNA methylation	feature_39413	3
METH__feature_326457	DNA methylation	feature_326457	3
METH__IQCG.7	DNA methylation	IQCG.7	3
METH__feature_378568	DNA methylation	feature_378568	3
METH__TRIM36.22	DNA methylation	TRIM36.22	3
METH__feature_356956	DNA methylation	feature_356956	3
METH__feature_338814	DNA methylation	feature_338814	3
METH__CBLN1.11	DNA methylation	CBLN1.11	3
METH__LRRC3B.22	DNA methylation	LRRC3B.22	3
METH__HIST1H1A.5	DNA methylation	HIST1H1A.5	3
METH__KIAA1751.2	DNA methylation	KIAA1751.2	3
METH__feature_181931	DNA methylation	feature_181931	3
METH__feature_136654	DNA methylation	feature_136654	3
METH__CDH12.11	DNA methylation	CDH12.11	3
METH__CACNA1C.74	DNA methylation	CACNA1C.74	3
METH__TMEM132D.65	DNA methylation	TMEM132D.65	3
METH__APC.25	DNA methylation	APC.25	3
METH__ANO1.64	DNA methylation	ANO1.64	3
METH__feature_93150	DNA methylation	feature_93150	3
METH__RPL39.3	DNA methylation	RPL39.3	3
METH__feature_199862	DNA methylation	feature_199862	3
METH__PARP15.7	DNA methylation	PARP15.7	3
METH__DLX1.21	DNA methylation	DLX1.21	3
METH__HTR6.18	DNA methylation	HTR6.18	3
METH__VIPR2.7	DNA methylation	VIPR2.7	3
METH__CACNA1H.148	DNA methylation	CACNA1H.148	3
METH__PPM1H.26	DNA methylation	PPM1H.26	3
METH__MT1G.4	DNA methylation	MT1G.4	3
METH__RSPH9.8	DNA methylation	RSPH9.8	3
METH__ZXDB.2	DNA methylation	ZXDB.2	3
METH__feature_64788	DNA methylation	feature_64788	3
METH__IRX5.13	DNA methylation	IRX5.13	3
METH__feature_371096	DNA methylation	feature_371096	3
METH__GDF7.20	DNA methylation	GDF7.20	3
METH__PROM1.2	DNA methylation	PROM1.2	3
METH__feature_227213	DNA methylation	feature_227213	3
METH__feature_42972	DNA methylation	feature_42972	3
METH__RGS12.88	DNA methylation	RGS12.88	3
METH__DBX1.4	DNA methylation	DBX1.4	3
METH__CSMD3.36	DNA methylation	CSMD3.36	3
METH__NAP1L4.44	DNA methylation	NAP1L4.44	3
METH__CDC42BPB.47	DNA methylation	CDC42BPB.47	3
METH__SLITRK2.8	DNA methylation	SLITRK2.8	3
METH__LMTK3.25	DNA methylation	LMTK3.25	3
METH__DRD4.7	DNA methylation	DRD4.7	3
METH__DPP6.93	DNA methylation	DPP6.93	3
METH__SCAMP4;ADAT3.14	DNA methylation	SCAMP4;ADAT3.14	3
METH__ICAM2.10	DNA methylation	ICAM2.10	3
METH__feature_160797	DNA methylation	feature_160797	3
METH__ZNF814.1	DNA methylation	ZNF814.1	3
METH__feature_83651	DNA methylation	feature_83651	3
METH__ACSL4.1	DNA methylation	ACSL4.1	3
METH__feature_19961	DNA methylation	feature_19961	3
METH__CETN2;NSDHL.2	DNA methylation	CETN2;NSDHL.2	3
METH__DOCK6.19	DNA methylation	DOCK6.19	3
METH__GAD2.15	DNA methylation	GAD2.15	3
METH__feature_142929	DNA methylation	feature_142929	3
METH__feature_59258	DNA methylation	feature_59258	3
METH__EID3;TXNRD1.3	DNA methylation	EID3;TXNRD1.3	3
METH__feature_47493	DNA methylation	feature_47493	3
METH__FARP1.19	DNA methylation	FARP1.19	3
METH__PLEKHG5.41	DNA methylation	PLEKHG5.41	3
METH__feature_174520	DNA methylation	feature_174520	3
METH__feature_182897	DNA methylation	feature_182897	3
METH__IGF2BP1.19	DNA methylation	IGF2BP1.19	3
METH__feature_390581	DNA methylation	feature_390581	3
METH__FHL1.19	DNA methylation	FHL1.19	3
METH__ZBTB38.7	DNA methylation	ZBTB38.7	3
METH__feature_247187	DNA methylation	feature_247187	3
METH__CCDC160.10	DNA methylation	CCDC160.10	3
METH__MOSPD2;FANCB.8	DNA methylation	MOSPD2;FANCB.8	3
METH__GBX2.3	DNA methylation	GBX2.3	3
METH__feature_178585	DNA methylation	feature_178585	3
METH__SCML2.3	DNA methylation	SCML2.3	3
METH__feature_87473	DNA methylation	feature_87473	3
METH__LBXCOR1.12	DNA methylation	LBXCOR1.12	3
METH__NID2.18	DNA methylation	NID2.18	3
METH__CACNG8;MIR935.6	DNA methylation	CACNG8;MIR935.6	3
METH__FLT3.1	DNA methylation	FLT3.1	3
METH__TP73.41	DNA methylation	TP73.41	3
METH__PAK1.6	DNA methylation	PAK1.6	3
METH__SIAH3.19	DNA methylation	SIAH3.19	3
METH__RADIL.38	DNA methylation	RADIL.38	3
METH__feature_256012	DNA methylation	feature_256012	3
METH__CAMTA1.46	DNA methylation	CAMTA1.46	3
METH__MECOM.6	DNA methylation	MECOM.6	3
METH__ADHFE1.13	DNA methylation	ADHFE1.13	3
METH__POLA1.7	DNA methylation	POLA1.7	3
METH__ADAMTS16.6	DNA methylation	ADAMTS16.6	3
METH__FGF13	DNA methylation	FGF13	3
METH__HMHA1.35	DNA methylation	HMHA1.35	3
METH__feature_9687	DNA methylation	feature_9687	3
METH__OPRL1.4	DNA methylation	OPRL1.4	3
METH__HOXB6;LOC404266.7	DNA methylation	HOXB6;LOC404266.7	3
METH__ELF4.1	DNA methylation	ELF4.1	3
METH__IKZF1.9	DNA methylation	IKZF1.9	3
METH__GNL3L.11	DNA methylation	GNL3L.11	3
METH__MIR124-2.9	DNA methylation	MIR124-2.9	3
METH__ZC3HC1.4	DNA methylation	ZC3HC1.4	3
METH__MGC45800.5	DNA methylation	MGC45800.5	3
METH__OTUD5.10	DNA methylation	OTUD5.10	3
METH__TBXAS1.16	DNA methylation	TBXAS1.16	3
METH__feature_87148	DNA methylation	feature_87148	3
METH__GIMAP8.2	DNA methylation	GIMAP8.2	3
METH__MIR193B.5	DNA methylation	MIR193B.5	3
METH__feature_46827	DNA methylation	feature_46827	3
METH__MAP3K5.3	DNA methylation	MAP3K5.3	3
METH__DSP.5	DNA methylation	DSP.5	3
METH__SIGIRR.8	DNA methylation	SIGIRR.8	3
METH__TNXB.22	DNA methylation	TNXB.22	3
METH__feature_287108	DNA methylation	feature_287108	3
METH__SLC38A4.11	DNA methylation	SLC38A4.11	3
METH__feature_181003	DNA methylation	feature_181003	3
METH__feature_177593	DNA methylation	feature_177593	3
METH__feature_312916	DNA methylation	feature_312916	3
METH__TCERG1L.30	DNA methylation	TCERG1L.30	3
METH__ANKRD30B.2	DNA methylation	ANKRD30B.2	3
METH__feature_166344	DNA methylation	feature_166344	3
METH__EXT1.37	DNA methylation	EXT1.37	3
METH__feature_87408	DNA methylation	feature_87408	3
METH__feature_139763	DNA methylation	feature_139763	3
METH__TWIST1.31	DNA methylation	TWIST1.31	3
METH__FZD5.10	DNA methylation	FZD5.10	3
METH__C3orf16.1	DNA methylation	C3orf16.1	3
METH__DHX40.3	DNA methylation	DHX40.3	3
METH__MACF1.26	DNA methylation	MACF1.26	3
METH__C1orf43;CFAP141	DNA methylation	C1orf43;CFAP141	3
METH__MYO1D.16	DNA methylation	MYO1D.16	3
METH__MECOM.42	DNA methylation	MECOM.42	3
METH__DPPA2	DNA methylation	DPPA2	3
METH__TSNARE1.48	DNA methylation	TSNARE1.48	3
METH__BARX1.7	DNA methylation	BARX1.7	3
METH__44631.8	DNA methylation	44631.8	3
METH__KCNK2.7	DNA methylation	KCNK2.7	3
METH__KCNH2.36	DNA methylation	KCNH2.36	3
METH__SLC6A3.38	DNA methylation	SLC6A3.38	3
METH__feature_261736	DNA methylation	feature_261736	3
METH__DBX1.11	DNA methylation	DBX1.11	3
METH__CMIP.39	DNA methylation	CMIP.39	3
METH__TMEM185A.3	DNA methylation	TMEM185A.3	3
METH__feature_147584	DNA methylation	feature_147584	3
METH__feature_223570	DNA methylation	feature_223570	3
METH__feature_261874	DNA methylation	feature_261874	3
METH__ZIC1.6	DNA methylation	ZIC1.6	3
METH__NFATC1.116	DNA methylation	NFATC1.116	3
METH__feature_18498	DNA methylation	feature_18498	3
METH__feature_106780	DNA methylation	feature_106780	3
METH__feature_28	DNA methylation	feature_28	3
METH__GPT.7	DNA methylation	GPT.7	3
METH__feature_70574	DNA methylation	feature_70574	3
METH__APBA2.4	DNA methylation	APBA2.4	3
METH__MOSPD2;FANCB.5	DNA methylation	MOSPD2;FANCB.5	3
METH__KLF14.5	DNA methylation	KLF14.5	3
METH__HRNBP3.100	DNA methylation	HRNBP3.100	3
METH__PRDM16.255	DNA methylation	PRDM16.255	3
METH__feature_275896	DNA methylation	feature_275896	3
METH__NCRNA00086.4	DNA methylation	NCRNA00086.4	3
METH__WNK4.21	DNA methylation	WNK4.21	3
METH__feature_237721	DNA methylation	feature_237721	3
METH__GFI1.37	DNA methylation	GFI1.37	3
METH__NHS.4	DNA methylation	NHS.4	3
METH__feature_268784	DNA methylation	feature_268784	3
METH__PRDX4.2	DNA methylation	PRDX4.2	3
METH__feature_271548	DNA methylation	feature_271548	3
METH__feature_24004	DNA methylation	feature_24004	3
METH__feature_316438	DNA methylation	feature_316438	3
METH__C7orf50.74	DNA methylation	C7orf50.74	3
METH__feature_17084	DNA methylation	feature_17084	3
METH__ZFHX4;LOC100192378.16	DNA methylation	ZFHX4;LOC100192378.16	3
METH__feature_34466	DNA methylation	feature_34466	3
METH__EID3;TXNRD1.2	DNA methylation	EID3;TXNRD1.2	3
METH__feature_372049	DNA methylation	feature_372049	3
METH__KBTBD11.18	DNA methylation	KBTBD11.18	3
METH__TOX2.7	DNA methylation	TOX2.7	3
METH__feature_318034	DNA methylation	feature_318034	3
METH__ACSL4.3	DNA methylation	ACSL4.3	3
METH__RPTOR.265	DNA methylation	RPTOR.265	3
METH__EXT1.18	DNA methylation	EXT1.18	3
METH__ZNF397OS.1	DNA methylation	ZNF397OS.1	3
METH__FBXO39.2	DNA methylation	FBXO39.2	3
METH__ALX4.12	DNA methylation	ALX4.12	3
METH__STARD8	DNA methylation	STARD8	3
METH__COX7B2	DNA methylation	COX7B2	3
METH__VEPH1.18	DNA methylation	VEPH1.18	3
METH__SMYD3.31	DNA methylation	SMYD3.31	3
METH__BAI1.33	DNA methylation	BAI1.33	3
METH__OPLAH.13	DNA methylation	OPLAH.13	3
METH__feature_150183	DNA methylation	feature_150183	3
METH__RALYL	DNA methylation	RALYL	3
METH__ADAMTSL5.8	DNA methylation	ADAMTSL5.8	3
METH__feature_88615	DNA methylation	feature_88615	3
METH__NLGN1.10	DNA methylation	NLGN1.10	3
METH__PREX1.11	DNA methylation	PREX1.11	3
METH__ARHGEF6.7	DNA methylation	ARHGEF6.7	3
METH__TM4SF19.2	DNA methylation	TM4SF19.2	3
METH__feature_188677	DNA methylation	feature_188677	3
METH__feature_245268	DNA methylation	feature_245268	3
METH__feature_143594	DNA methylation	feature_143594	3
METH__SLC6A18.28	DNA methylation	SLC6A18.28	3
METH__HDX.12	DNA methylation	HDX.12	3
METH__MIR155HG.4	DNA methylation	MIR155HG.4	3
METH__ZNF389.4	DNA methylation	ZNF389.4	3
METH__feature_394183	DNA methylation	feature_394183	3
METH__feature_344842	DNA methylation	feature_344842	3
METH__SLC6A15.1	DNA methylation	SLC6A15.1	3
METH__SHROOM4.6	DNA methylation	SHROOM4.6	3
METH__ADAMTS16.5	DNA methylation	ADAMTS16.5	3
METH__feature_119736	DNA methylation	feature_119736	3
METH__NOTCH4.21	DNA methylation	NOTCH4.21	3
METH__MAGI2.7	DNA methylation	MAGI2.7	3
METH__PAX6.2	DNA methylation	PAX6.2	3
METH__VAX1.39	DNA methylation	VAX1.39	3
METH__MECOM.49	DNA methylation	MECOM.49	3
METH__feature_28314	DNA methylation	feature_28314	3
METH__GATA4.35	DNA methylation	GATA4.35	3
METH__feature_104113	DNA methylation	feature_104113	3
METH__PARP15.4	DNA methylation	PARP15.4	3
METH__NME5.3	DNA methylation	NME5.3	3
METH__TCTEX1D1.13	DNA methylation	TCTEX1D1.13	3
METH__GPR88.8	DNA methylation	GPR88.8	3
METH__feature_144380	DNA methylation	feature_144380	3
METH__HIST1H3C.4	DNA methylation	HIST1H3C.4	3
METH__HIST1H3F;HIST1H2BH.3	DNA methylation	HIST1H3F;HIST1H2BH.3	3
METH__TGFB3.3	DNA methylation	TGFB3.3	3
