fused_feature	layer	original_feature	fold
mRNA__PDIA3	mRNA	PDIA3	1
mRNA__PTPRF	mRNA	PTPRF	1
mRNA__TFF2	mRNA	TFF2	1
mRNA__PGD	mRNA	PGD	1
mRNA__PLS3	mRNA	PLS3	1
mRNA__DST	mRNA	DST	1
mRNA__WFDC2	mRNA	WFDC2	1
mRNA__PVRL1	mRNA	PVRL1	1
mRNA__WARS	mRNA	WARS	1
mRNA__ITGB1	mRNA	ITGB1	1
mRNA__C1S	mRNA	C1S	1
mRNA__TRIM29	mRNA	TRIM29	1
mRNA__CANX	mRNA	CANX	1
mRNA__RPS12	mRNA	RPS12	1
mRNA__RPS17	mRNA	RPS17	1
mRNA__DSG3	mRNA	DSG3	1
mRNA__LY6E	mRNA	LY6E	1
mRNA__RPL7A	mRNA	RPL7A	1
mRNA__RPL18	mRNA	RPL18	1
mRNA__RPS9	mRNA	RPS9	1
mRNA__GPC1	mRNA	GPC1	1
mRNA__RPL10	mRNA	RPL10	1
mRNA__PCSK1	mRNA	PCSK1	1
mRNA__TMBIM6	mRNA	TMBIM6	1
mRNA__RPL30	mRNA	RPL30	1
mRNA__CSTB	mRNA	CSTB	1
mRNA__CUL4A	mRNA	CUL4A	1
mRNA__IFI27	mRNA	IFI27	1
mRNA__TM4SF1	mRNA	TM4SF1	1
mRNA__RPS15A	mRNA	RPS15A	1
mRNA__POSTN	mRNA	POSTN	1
mRNA__RPL37A	mRNA	RPL37A	1
mRNA__EEF1G	mRNA	EEF1G	1
mRNA__ABCC5	mRNA	ABCC5	1
mRNA__MMP14	mRNA	MMP14	1
mRNA__NAMPT	mRNA	NAMPT	1
mRNA__FOS	mRNA	FOS	1
mRNA__MUC4	mRNA	MUC4	1
mRNA__MSN	mRNA	MSN	1
mRNA__COL4A1	mRNA	COL4A1	1
mRNA__TFDP1	mRNA	TFDP1	1
mRNA__CD59	mRNA	CD59	1
mRNA__ACTN4	mRNA	ACTN4	1
mRNA__CCT6A	mRNA	CCT6A	1
mRNA__SRXN1	mRNA	SRXN1	1
mRNA__GSN	mRNA	GSN	1
mRNA__CXCL14	mRNA	CXCL14	1
mRNA__C16orf89	mRNA	C16orf89	1
mRNA__SDC4	mRNA	SDC4	1
mRNA__RPL32	mRNA	RPL32	1
mRNA__EGFR	mRNA	EGFR	1
mRNA__MMP1	mRNA	MMP1	1
mRNA__CFL1	mRNA	CFL1	1
mRNA__RPS21	mRNA	RPS21	1
mRNA__S100A10	mRNA	S100A10	1
mRNA__OS9	mRNA	OS9	1
mRNA__RPL23	mRNA	RPL23	1
mRNA__PEG10	mRNA	PEG10	1
mRNA__HSPG2	mRNA	HSPG2	1
mRNA__EIF4G2	mRNA	EIF4G2	1
mRNA__GPX2	mRNA	GPX2	1
mRNA__C4BPA	mRNA	C4BPA	1
mRNA__COL6A1	mRNA	COL6A1	1
mRNA__KRT6C	mRNA	KRT6C	1
mRNA__APOL1	mRNA	APOL1	1
mRNA__DDIT4	mRNA	DDIT4	1
mRNA__SEPP1	mRNA	SEPP1	1
mRNA__FXYD3	mRNA	FXYD3	1
mRNA__MT2A	mRNA	MT2A	1
mRNA__IFITM3	mRNA	IFITM3	1
mRNA__AP2M1	mRNA	AP2M1	1
mRNA__SAT1	mRNA	SAT1	1
mRNA__THBS2	mRNA	THBS2	1
mRNA__AGRN	mRNA	AGRN	1
mRNA__TKT	mRNA	TKT	1
mRNA__IFI6	mRNA	IFI6	1
mRNA__CLDN4	mRNA	CLDN4	1
mRNA__CTTN	mRNA	CTTN	1
mRNA__ATP1B3	mRNA	ATP1B3	1
mRNA__XIST	mRNA	XIST	1
mRNA__HLA-E	mRNA	HLA-E	1
mRNA__TPM4	mRNA	TPM4	1
mRNA__HMGB3	mRNA	HMGB3	1
mRNA__GRN	mRNA	GRN	1
mRNA__RPS2	mRNA	RPS2	1
mRNA__SCNN1A	mRNA	SCNN1A	1
mRNA__PTMA	mRNA	PTMA	1
mRNA__ITGA6	mRNA	ITGA6	1
mRNA__ITM2B	mRNA	ITM2B	1
mRNA__SPRR3	mRNA	SPRR3	1
mRNA__RPL35	mRNA	RPL35	1
mRNA__RPL24	mRNA	RPL24	1
mRNA__RPL11	mRNA	RPL11	1
mRNA__NOTCH3	mRNA	NOTCH3	1
mRNA__QSOX1.1	mRNA	QSOX1.1	1
mRNA__EIF4A2	mRNA	EIF4A2	1
mRNA__RPL15	mRNA	RPL15	1
mRNA__SPRR2A	mRNA	SPRR2A	1
mRNA__C8orf4	mRNA	C8orf4	1
mRNA__VCAN	mRNA	VCAN	1
mRNA__COL12A1	mRNA	COL12A1	1
mRNA__GCLC	mRNA	GCLC	1
mRNA__ERRFI1	mRNA	ERRFI1	1
mRNA__SERPINA3	mRNA	SERPINA3	1
mRNA__XBP1	mRNA	XBP1	1
mRNA__COL17A1	mRNA	COL17A1	1
mRNA__F11R	mRNA	F11R	1
mRNA__FSCN1	mRNA	FSCN1	1
mRNA__CLCA2	mRNA	CLCA2	1
mRNA__COL5A2	mRNA	COL5A2	1
mRNA__TRAM1	mRNA	TRAM1	1
mRNA__HLA-DRB5	mRNA	HLA-DRB5	1
mRNA__CXCL17	mRNA	CXCL17	1
mRNA__CALB1	mRNA	CALB1	1
mRNA__SOD2	mRNA	SOD2	1
mRNA__CTNNB1	mRNA	CTNNB1	1
mRNA__PPIB	mRNA	PPIB	1
mRNA__EZR	mRNA	EZR	1
mRNA__CRABP2	mRNA	CRABP2	1
mRNA__LRP1	mRNA	LRP1	1
mRNA__STAT1	mRNA	STAT1	1
mRNA__HLA-DPB1	mRNA	HLA-DPB1	1
mRNA__SUSD2	mRNA	SUSD2	1
mRNA__GSTA1	mRNA	GSTA1	1
mRNA__PDIA4	mRNA	PDIA4	1
mRNA__GJA1	mRNA	GJA1	1
mRNA__DSC3	mRNA	DSC3	1
mRNA__PLAU	mRNA	PLAU	1
mRNA__RPS7	mRNA	RPS7	1
mRNA__ABHD2	mRNA	ABHD2	1
mRNA__RPL26	mRNA	RPL26	1
mRNA__BCAM	mRNA	BCAM	1
mRNA__IGFBP4	mRNA	IGFBP4	1
mRNA__ABCC1	mRNA	ABCC1	1
mRNA__RPL12	mRNA	RPL12	1
mRNA__MAL2	mRNA	MAL2	1
mRNA__PSMD2	mRNA	PSMD2	1
mRNA__MMP9	mRNA	MMP9	1
mRNA__DUSP1	mRNA	DUSP1	1
mRNA__GJB2	mRNA	GJB2	1
mRNA__SEMA4B	mRNA	SEMA4B	1
mRNA__SLC7A5	mRNA	SLC7A5	1
mRNA__GPRC5A	mRNA	GPRC5A	1
mRNA__MALL	mRNA	MALL	1
mRNA__MIF	mRNA	MIF	1
mRNA__SLC6A8	mRNA	SLC6A8	1
mRNA__ANPEP	mRNA	ANPEP	1
mRNA__LAPTM4B	mRNA	LAPTM4B	1
mRNA__MXRA5	mRNA	MXRA5	1
mRNA__SCG2	mRNA	SCG2	1
mRNA__EIF3CL	mRNA	EIF3CL	1
mRNA__ERLIN2	mRNA	ERLIN2	1
mRNA__PTP4A1	mRNA	PTP4A1	1
mRNA__SERPINE1	mRNA	SERPINE1	1
mRNA__SFTPD	mRNA	SFTPD	1
mRNA__SLC25A6	mRNA	SLC25A6	1
mRNA__HPGD	mRNA	HPGD	1
mRNA__RPLP2	mRNA	RPLP2	1
mRNA__TFF3	mRNA	TFF3	1
mRNA__HMOX1	mRNA	HMOX1	1
mRNA__HLA-DQB1	mRNA	HLA-DQB1	1
mRNA__YBX1	mRNA	YBX1	1
mRNA__SFRP2	mRNA	SFRP2	1
mRNA__CLDN18	mRNA	CLDN18	1
mRNA__AHNAK2	mRNA	AHNAK2	1
mRNA__PLAT	mRNA	PLAT	1
mRNA__H3F3B	mRNA	H3F3B	1
mRNA__TIMP2	mRNA	TIMP2	1
mRNA__HDLBP	mRNA	HDLBP	1
mRNA__EPCAM	mRNA	EPCAM	1
mRNA__COL7A1	mRNA	COL7A1	1
mRNA__CDH1	mRNA	CDH1	1
mRNA__PAEP	mRNA	PAEP	1
mRNA__BSG	mRNA	BSG	1
mRNA__ATP5B	mRNA	ATP5B	1
mRNA__RHCG	mRNA	RHCG	1
mRNA__ABCA3	mRNA	ABCA3	1
mRNA__CALM2	mRNA	CALM2	1
mRNA__SERF2	mRNA	SERF2	1
mRNA__ZFP36L1	mRNA	ZFP36L1	1
mRNA__MMP13	mRNA	MMP13	1
mRNA__RPS23	mRNA	RPS23	1
mRNA__ATP11A	mRNA	ATP11A	1
mRNA__RHOB	mRNA	RHOB	1
mRNA__MDK	mRNA	MDK	1
mRNA__SRRM2	mRNA	SRRM2	1
mRNA__RPL10A	mRNA	RPL10A	1
mRNA__GPR116	mRNA	GPR116	1
mRNA__G6PD	mRNA	G6PD	1
mRNA__CFB	mRNA	CFB	1
mRNA__S100A4	mRNA	S100A4	1
mRNA__TNFSF10	mRNA	TNFSF10	1
mRNA__EPAS1	mRNA	EPAS1	1
mRNA__HLA-DQA1	mRNA	HLA-DQA1	1
mRNA__CAPN2	mRNA	CAPN2	1
mRNA__DSG2	mRNA	DSG2	1
mRNA__MUC20	mRNA	MUC20	1
mRNA__PLXNB2	mRNA	PLXNB2	1
mRNA__S100A16	mRNA	S100A16	1
mRNA__CCL18	mRNA	CCL18	1
mRNA__LAMA3	mRNA	LAMA3	1
mRNA__CLSTN1	mRNA	CLSTN1	1
mRNA__SERPINB3	mRNA	SERPINB3	1
mRNA__CD46	mRNA	CD46	1
mRNA__NCRNA00188	mRNA	NCRNA00188	1
mRNA__C1orf116	mRNA	C1orf116	1
mRNA__EIF4A1	mRNA	EIF4A1	1
mRNA__RPS27A	mRNA	RPS27A	1
mRNA__EIF5A	mRNA	EIF5A	1
mRNA__TUBA1C	mRNA	TUBA1C	1
mRNA__CTSC	mRNA	CTSC	1
mRNA__UBB	mRNA	UBB	1
mRNA__NCL	mRNA	NCL	1
mRNA__SULF1	mRNA	SULF1	1
mRNA__CCT2	mRNA	CCT2	1
mRNA__IFI30	mRNA	IFI30	1
mRNA__DDR1	mRNA	DDR1	1
mRNA__LGALS1	mRNA	LGALS1	1
mRNA__LY6D	mRNA	LY6D	1
mRNA__RPL29	mRNA	RPL29	1
mRNA__LAPTM5	mRNA	LAPTM5	1
mRNA__CPD	mRNA	CPD	1
mRNA__RPN2	mRNA	RPN2	1
mRNA__CHCHD2	mRNA	CHCHD2	1
mRNA__ZFP36	mRNA	ZFP36	1
mRNA__CSTA	mRNA	CSTA	1
mRNA__TAGLN	mRNA	TAGLN	1
mRNA__MCL1	mRNA	MCL1	1
mRNA__UBA52	mRNA	UBA52	1
mRNA__EGR1	mRNA	EGR1	1
mRNA__CD177	mRNA	CD177	1
mRNA__IFITM1	mRNA	IFITM1	1
mRNA__NACA	mRNA	NACA	1
mRNA__ALB	mRNA	ALB	1
mRNA__SGK1	mRNA	SGK1	1
mRNA__PFN1	mRNA	PFN1	1
mRNA__NME2	mRNA	NME2	1
mRNA__PDIA6	mRNA	PDIA6	1
mRNA__ADAR	mRNA	ADAR	1
mRNA__CAPZA2	mRNA	CAPZA2	1
mRNA__BCAT1	mRNA	BCAT1	1
mRNA__S100A14	mRNA	S100A14	1
mRNA__CDH3	mRNA	CDH3	1
mRNA__STEAP4	mRNA	STEAP4	1
mRNA__NFE2L2	mRNA	NFE2L2	1
mRNA__TFF1	mRNA	TFF1	1
mRNA__RPS3A	mRNA	RPS3A	1
mRNA__RPS10	mRNA	RPS10	1
mRNA__GOLM1	mRNA	GOLM1	1
mRNA__VEGFA	mRNA	VEGFA	1
mRNA__B3GNT5	mRNA	B3GNT5	1
mRNA__TXN	mRNA	TXN	1
mRNA__TSC22D3	mRNA	TSC22D3	1
mRNA__ELF3	mRNA	ELF3	1
mRNA__PTGS2	mRNA	PTGS2	1
mRNA__EIF1	mRNA	EIF1	1
mRNA__ANXA2P2	mRNA	ANXA2P2	1
mRNA__ANO1	mRNA	ANO1	1
mRNA__CD81	mRNA	CD81	1
mRNA__MVP	mRNA	MVP	1
mRNA__TSPAN3	mRNA	TSPAN3	1
mRNA__KRT81	mRNA	KRT81	1
mRNA__CCT5	mRNA	CCT5	1
mRNA__HSPD1	mRNA	HSPD1	1
mRNA__C1QB	mRNA	C1QB	1
mRNA__ACTA2	mRNA	ACTA2	1
mRNA__SERPING1	mRNA	SERPING1	1
mRNA__MGST1	mRNA	MGST1	1
mRNA__JAG1	mRNA	JAG1	1
mRNA__EEF1D	mRNA	EEF1D	1
mRNA__CTSZ	mRNA	CTSZ	1
mRNA__ATP2A2	mRNA	ATP2A2	1
mRNA__C5orf13	mRNA	C5orf13	1
mRNA__FBLN1	mRNA	FBLN1	1
mRNA__MYL12B	mRNA	MYL12B	1
mRNA__HMGA1	mRNA	HMGA1	1
mRNA__NDUFA4L2	mRNA	NDUFA4L2	1
