sample_id	PC1	PC2	PC3	subtype
TCGA-50-6594-01	-55.66705814418273	3.777478593956903	2.4616764843806447	LUAD
TCGA-50-6595-01	-39.021897810092725	-10.491362863163504	33.4139038801816	LUAD
TCGA-50-6597-01	-71.62477334193677	25.42004114816542	-7.514561903265434	LUAD
TCGA-50-6673-01	-26.119470491791006	-14.666031703773111	-13.601807472243944	LUAD
TCGA-50-7109-01	-21.047209152314892	-11.325477744336625	-31.58902432861255	LUAD
TCGA-50-8457-01	-56.80391208657775	0.9181084968615458	21.585991218362786	LUAD
TCGA-50-8459-01	-16.578885284738927	-5.4238874322648885	6.386075047080741	LUAD
TCGA-50-8460-01	-35.565252999160535	-2.8666308578124564	6.854895358451729	LUAD
TCGA-53-7624-01	-1.683369259272863	0.8287154080352485	13.30575593889129	LUAD
TCGA-53-7626-01	-51.72753840456436	-6.647582999956769	17.400200095069163	LUAD
TCGA-53-7813-01	-40.5580967989587	-23.490186776107528	3.1560879481753745	LUAD
TCGA-53-A4EZ-01	-23.227177118310852	-7.5336626884883975	-22.445766111297903	LUAD
TCGA-55-5899-01	12.764978591719581	-17.63390014384997	-49.189739807734114	LUAD
TCGA-55-6543-01	-51.46271575259554	-28.37754750743507	23.40299245514282	LUAD
TCGA-55-6712-01	-33.28392466852548	11.106076671335744	-10.98561749944174	LUAD
TCGA-55-6969-01	10.63502773685273	-26.90979615547506	-9.278761886734989	LUAD
TCGA-55-6970-01	-43.17495387774789	-8.785406526292382	15.117084497940542	LUAD
TCGA-55-6971-01	-45.61206055301501	-14.14441410216754	19.98572420237255	LUAD
TCGA-55-6978-01	-18.666951043433002	-0.6305920616448535	-1.079016158148519	LUAD
TCGA-55-6979-01	-42.86938492347127	-17.547754671745018	36.99880017730277	LUAD
TCGA-55-6981-01	-39.21020783179325	-14.36468813472375	3.5651621834361475	LUAD
TCGA-55-6982-01	-52.22756344766872	16.425969971112032	6.184817980476825	LUAD
TCGA-55-7573-01	-50.88584475605509	-10.18189155965871	32.86210819586344	LUAD
TCGA-55-7574-01	-50.8806554095573	4.976562647158562	25.33488699829167	LUAD
TCGA-55-7728-01	-36.54725766801367	-13.679174945406759	30.226715200658813	LUAD
TCGA-55-7815-01	-27.233605940705658	-3.4995225036915514	-16.155360543437435	LUAD
TCGA-55-7910-01	-30.46386269656111	-43.24545604806436	0.5592222353407823	LUAD
TCGA-55-7911-01	-61.17141818358309	37.8737644916704	10.518595231504188	LUAD
TCGA-55-8505-01	5.649652522475917	-20.025123674357573	-0.6473328713812535	LUAD
TCGA-55-8506-01	-70.44397537470688	45.02155728897316	-30.340809627327666	LUAD
TCGA-55-8507-01	9.616466785394005	-56.74313942505179	-51.723018080902264	LUAD
TCGA-55-8620-01	6.42490700121573	21.938349155981847	-45.71392269493599	LUAD
TCGA-55-A494-01	-63.60833066978647	14.06777412258542	-38.85119164748349	LUAD
TCGA-62-8394-01	-42.43544260053536	-0.20704402033256597	-9.618723735824165	LUAD
TCGA-62-8395-01	-77.17241610050678	37.55445056908406	-2.6043792932392438	LUAD
