sample_id	layer	sample_mean	sample_sd	sample_missing_percent	subtype
TCGA-67-6215-01	mRNA	3445.21129018	13210.640683641159	0	LUAD
TCGA-67-6216-01	mRNA	3457.36835424	12232.806515011569	0	LUAD
TCGA-67-6217-01	mRNA	3132.7347016199997	13556.731323050635	0	LUAD
TCGA-69-7760-01	mRNA	3073.26272544	6637.753813701462	0	LUAD
TCGA-69-7761-01	mRNA	3023.30429882	10918.16146558317	0	LUAD
TCGA-69-7763-01	mRNA	3266.53909644	10660.11675157291	0	LUAD
TCGA-69-7764-01	mRNA	3068.89779794	8976.500427602597	0	LUAD
TCGA-69-7765-01	mRNA	3242.55334124	9307.094266828104	0	LUAD
TCGA-69-8255-01	mRNA	3683.6472918800005	18923.45129742154	0	LUAD
TCGA-69-A59K-01	mRNA	3077.85534084	19314.51328776506	0	LUAD
TCGA-71-6725-01	mRNA	2989.8871215	7407.989864472144	0	LUAD
TCGA-71-8520-01	mRNA	2915.72505046	7012.90619441074	0	LUAD
TCGA-73-4658-01	mRNA	3400.23454288	8285.95938335147	0	LUAD
TCGA-73-4676-01	mRNA	3293.90791408	8484.54706990585	0	LUAD
TCGA-73-7498-01	mRNA	3093.3666106	13197.079233324544	0	LUAD
TCGA-73-7499-01	mRNA	3051.35817586	7374.665833435927	0	LUAD
TCGA-73-A9RS-01	mRNA	2750.1031426	6191.152402107698	0	LUAD
TCGA-75-5122-01	mRNA	3179.64295134	10206.599731812583	0	LUAD
TCGA-75-5125-01	mRNA	2827.58433682	5977.912371569489	0	LUAD
TCGA-75-6203-01	mRNA	3550.35332634	14851.340718080428	0	LUAD
TCGA-75-6205-01	mRNA	3095.77545008	9383.259922823625	0	LUAD
TCGA-75-6206-01	mRNA	3057.23283588	10679.815392998287	0	LUAD
TCGA-75-6207-01	mRNA	2552.89685924	5352.654610699754	0	LUAD
TCGA-75-6211-01	mRNA	2883.41496134	6894.217300952011	0	LUAD
TCGA-75-6212-01	mRNA	3727.47313076	12666.901100554522	0	LUAD
TCGA-75-6214-01	mRNA	3092.02386958	6733.124828671984	0	LUAD
TCGA-75-7027-01	mRNA	3094.9046366	6759.761800297896	0	LUAD
TCGA-75-7030-01	mRNA	3431.551242	13242.290797321446	0	LUAD
TCGA-75-7031-01	mRNA	3132.71123664	7841.150325265564	0	LUAD
TCGA-78-7143-01	mRNA	2620.08515492	5065.1593966867285	0	LUAD
TCGA-78-7145-01	mRNA	3006.67798274	6527.557322202343	0	LUAD
TCGA-78-7146-01	mRNA	3098.40296964	6621.929384808076	0	LUAD
TCGA-78-7147-01	mRNA	2881.1385206200002	6155.4319005795205	0	LUAD
TCGA-78-7148-01	mRNA	3353.84205498	9875.35568279319	0	LUAD
TCGA-78-7149-01	mRNA	3488.4355948400002	15384.623605534161	0	LUAD
TCGA-78-7150-01	mRNA	3006.3488586	6271.496399982136	0	LUAD
TCGA-78-7152-01	mRNA	3324.8050958	11295.862240471903	0	LUAD
TCGA-78-7153-01	mRNA	3134.01283328	8957.26817331613	0	LUAD
TCGA-78-7154-01	mRNA	3181.63083234	7118.708695817524	0	LUAD
TCGA-78-7155-01	mRNA	2372.7527045	4876.709363950889	0	LUAD
TCGA-78-7156-01	mRNA	3186.53758006	9730.434889971404	0	LUAD
TCGA-78-7158-01	mRNA	2946.4346673200002	7118.373891295336	0	LUAD
TCGA-78-7159-01	mRNA	3008.90386814	8578.171353150909	0	LUAD
TCGA-78-7160-01	mRNA	2856.6628767400002	5684.966021444048	0	LUAD
TCGA-78-7161-01	mRNA	3500.15390272	22685.994778261753	0	LUAD
TCGA-78-7162-01	mRNA	3404.00844872	15762.679770536122	0	LUAD
TCGA-78-7163-01	mRNA	3037.96903908	9424.958287688813	0	LUAD
TCGA-78-7166-01	mRNA	3561.17539484	9027.013174678097	0	LUAD
TCGA-78-7167-01	mRNA	3420.4220528	20035.001295006434	0	LUAD
TCGA-78-7535-01	mRNA	3294.23771996	9948.10654432685	0	LUAD
TCGA-78-7536-01	mRNA	2864.730833	7341.056329416529	0	LUAD
TCGA-78-7537-01	mRNA	3813.41908824	18898.22708626689	0	LUAD
TCGA-78-7539-01	mRNA	3015.74478252	7458.238866510224	0	LUAD
TCGA-78-7540-01	mRNA	3292.03137138	8577.973799114121	0	LUAD
TCGA-78-7542-01	mRNA	3189.53728572	7606.919203597616	0	LUAD
TCGA-78-7633-01	mRNA	3670.90079276	19505.999473880845	0	LUAD
TCGA-78-8662-01	mRNA	2923.7119217599998	6460.800111317047	0	LUAD
TCGA-80-5607-01	mRNA	3123.18137468	7175.72690607803	0	LUAD
TCGA-80-5608-01	mRNA	3583.35047054	13432.624760395332	0	LUAD
TCGA-80-5611-01	mRNA	2934.9589735	6876.6128468518655	0	LUAD
TCGA-83-5908-01	mRNA	2950.5972438	6007.661640891728	0	LUAD
TCGA-86-6562-01	mRNA	2939.26661972	6403.7199719716555	0	LUAD
