layer	component	feature	loading	abs_loading	selected	fold	model_label	integration	source
mRNA	1	WFDC2	-4.092995497914678e-4	4.092995497914678e-4	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	LAPTM5	-0.47569510925290726	0.47569510925290726	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	CD74	-0.4491011440714267	0.4491011440714267	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	EPCAM	0.4456238181274284	0.4456238181274284	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HLA-DPB1	-0.4022612250589768	0.4022612250589768	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HLA-DRA	-0.31468088009098255	0.31468088009098255	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HLA-E	-0.24895693555229864	0.24895693555229864	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HLA-DPA1	-0.16479920397332198	0.16479920397332198	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	B2M	-0.12171378876430358	0.12171378876430358	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HLA-DRB1	-0.09000495080155431	0.09000495080155431	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	2	HMGB3	0.023454588663313937	0.023454588663313937	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	ZHX2	-0.1953263698477033	0.1953263698477033	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_58817	-0.18937123452793256	0.18937123452793256	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	RTP1.8	-0.18521446287992405	0.18521446287992405	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	PRKAR1B.114	-0.17505374226302822	0.17505374226302822	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TBCD.110	-0.17440196443188144	0.17440196443188144	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	ST18.16	-0.1710693803867935	0.1710693803867935	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TP73.68	-0.16781938556994544	0.16781938556994544	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_187008	-0.16712220560474203	0.16712220560474203	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	RNMTL1.7	-0.1660709210484287	0.1660709210484287	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	MIR205HG.2	-0.16601484012484555	0.16601484012484555	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TP73.88	-0.16479140681163323	0.16479140681163323	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	ZNF750;TBCD.17	-0.15938827736061084	0.15938827736061084	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	SPSB1.35	-0.15871636890389737	0.15871636890389737	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	MYLK.1	-0.15729673735754626	0.15729673735754626	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	LIMA1.17	-0.15143258181565022	0.15143258181565022	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	MIR128-1;R3HDM1	-0.14773790937105155	0.14773790937105155	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_282548	0.14635008817933223	0.14635008817933223	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	ITPRIP.13	-0.13993867982890243	0.13993867982890243	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	C3orf34	-0.13939379940190783	0.13939379940190783	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_362612	-0.13888654608281925	0.13888654608281925	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
