layer	component	feature	loading	abs_loading	selected	fold	model_label	integration
DNA methylation	1	SH3PXD2A.26	-0.038306685357106594	0.038306685357106594	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RUNX3.53	-0.032549089273940963	0.032549089273940963	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RAPGEFL1.8	0.03221644852308694	0.03221644852308694	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	GDNF.33	0.03147499445346611	0.03147499445346611	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ACHE.1	-0.03053600312329182	0.03053600312329182	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	AGAP1.47	-0.029966818495478654	0.029966818495478654	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	GAS1.5	-0.029108911819098658	0.029108911819098658	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	EDAR.1	-0.02744559697968126	0.02744559697968126	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ABLIM2.64	-0.026361865814640135	0.026361865814640135	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_198027	-0.02561744077364401	0.02561744077364401	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	VANGL2.6	-0.025136618251164315	0.025136618251164315	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_207128	-0.02259350401946711	0.02259350401946711	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	WWOX.12	-0.0218702947592048	0.0218702947592048	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	WDR37.26	0.01793345977157181	0.01793345977157181	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ANGPT1.17	-0.01683222973380044	0.01683222973380044	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_168488	-0.01495134628138268	0.01495134628138268	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_29331	-0.013991805305816106	0.013991805305816106	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_51157	0.012860967921327056	0.012860967921327056	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	GPR37L1.7	0.011995489406056194	0.011995489406056194	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_82595	-0.009978049963253563	0.009978049963253563	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	HRNBP3.112	-0.0066196156461243525	0.0066196156461243525	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	SDK2.13	0.00644749015058962	0.00644749015058962	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CCDC88C.29	-0.005851318506701225	0.005851318506701225	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	EPHX3.10	0.005728271851016443	0.005728271851016443	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RAPGEFL1.17	0.0053626765586275845	0.0053626765586275845	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_262061	-0.0051345274536328195	0.0051345274536328195	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KCNT1.47	-5.643343330776698e-4	5.643343330776698e-4	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_348516	-0.8179841285756001	0.8179841285756001	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	IL20RA.12	-0.3690141347728138	0.3690141347728138	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_388837	-0.3089617405481359	0.3089617405481359	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
