model_label	FPR	TPR
Early fusion + Elastic Net	0.0031645569620253333	0.6693227091633466
Early fusion + Elastic Net	0.0031645569620253333	0.6733067729083665
Early fusion + Elastic Net	0.0031645569620253333	0.6772908366533864
Early fusion + Elastic Net	0.0031645569620253333	0.6812749003984063
Early fusion + Elastic Net	0.0031645569620253333	0.6852589641434262
Early fusion + Elastic Net	0.0031645569620253333	0.6892430278884463
Early fusion + Elastic Net	0.0031645569620253333	0.6932270916334662
Early fusion + Elastic Net	0.0031645569620253333	0.6972111553784861
Early fusion + Elastic Net	0.0031645569620253333	0.701195219123506
Early fusion + Elastic Net	0.0031645569620253333	0.7051792828685259
Early fusion + Elastic Net	0.0031645569620253333	0.7091633466135459
Early fusion + Elastic Net	0.0031645569620253333	0.7131474103585658
Early fusion + Elastic Net	0.0031645569620253333	0.7171314741035857
Early fusion + Elastic Net	0.0031645569620253333	0.7211155378486056
Early fusion + Elastic Net	0.0031645569620253333	0.7250996015936255
Early fusion + Elastic Net	0.0031645569620253333	0.7290836653386454
Early fusion + Elastic Net	0.0031645569620253333	0.7330677290836654
Early fusion + Elastic Net	0.0031645569620253333	0.7370517928286853
Early fusion + Elastic Net	0.0031645569620253333	0.7410358565737052
Early fusion + Elastic Net	0.0031645569620253333	0.7450199203187251
Early fusion + Elastic Net	0.0031645569620253333	0.749003984063745
Early fusion + Elastic Net	0.0031645569620253333	0.7529880478087649
Early fusion + Elastic Net	0.0031645569620253333	0.7569721115537849
Early fusion + Elastic Net	0.0031645569620253333	0.7609561752988048
Early fusion + Elastic Net	0.0031645569620253333	0.7649402390438247
Early fusion + Elastic Net	0.0031645569620253333	0.7689243027888446
Early fusion + Elastic Net	0.0031645569620253333	0.7729083665338645
Early fusion + Elastic Net	0.0031645569620253333	0.7768924302788844
Early fusion + Elastic Net	0.0031645569620253333	0.7808764940239044
Early fusion + Elastic Net	0.0031645569620253333	0.7848605577689243
Early fusion + Elastic Net	0.0031645569620253333	0.7888446215139442
Early fusion + Elastic Net	0.0031645569620253333	0.7928286852589641
Early fusion + Elastic Net	0.0031645569620253333	0.796812749003984
Early fusion + Elastic Net	0.0031645569620253333	0.8007968127490039
Early fusion + Elastic Net	0.0031645569620253333	0.8047808764940239
Early fusion + Elastic Net	0.0031645569620253333	0.8087649402390438
Early fusion + Elastic Net	0.0031645569620253333	0.8127490039840638
Early fusion + Elastic Net	0.0031645569620253333	0.8167330677290837
Early fusion + Elastic Net	0.0031645569620253333	0.8207171314741036
Early fusion + Elastic Net	0.0031645569620253333	0.8247011952191236
Early fusion + Elastic Net	0.0031645569620253333	0.8286852589641435
Early fusion + Elastic Net	0.0031645569620253333	0.8326693227091634
Early fusion + Elastic Net	0.0031645569620253333	0.8366533864541833
Early fusion + Elastic Net	0.0031645569620253333	0.8406374501992032
Early fusion + Elastic Net	0.0031645569620253333	0.8446215139442231
Early fusion + Elastic Net	0.0031645569620253333	0.848605577689243
Early fusion + Elastic Net	0.0031645569620253333	0.852589641434263
