layer	model	FPR	TPR
mRNA	Elastic Net	0.0031645569620253333	0.6254980079681275
mRNA	Elastic Net	0.0031645569620253333	0.6294820717131474
mRNA	Elastic Net	0.0031645569620253333	0.6334661354581673
mRNA	Elastic Net	0.0031645569620253333	0.6374501992031872
mRNA	Elastic Net	0.0031645569620253333	0.6414342629482072
mRNA	Elastic Net	0.0031645569620253333	0.6454183266932271
mRNA	Elastic Net	0.0031645569620253333	0.649402390438247
mRNA	Elastic Net	0.0031645569620253333	0.6533864541832669
mRNA	Elastic Net	0.0031645569620253333	0.6573705179282868
mRNA	Elastic Net	0.0031645569620253333	0.6613545816733067
mRNA	Elastic Net	0.0031645569620253333	0.6653386454183267
mRNA	Elastic Net	0.0031645569620253333	0.6693227091633466
mRNA	Elastic Net	0.0031645569620253333	0.6733067729083665
mRNA	Elastic Net	0.0031645569620253333	0.6772908366533864
mRNA	Elastic Net	0.0031645569620253333	0.6812749003984063
mRNA	Elastic Net	0.0031645569620253333	0.6852589641434262
mRNA	Elastic Net	0.0031645569620253333	0.6892430278884463
mRNA	Elastic Net	0.0031645569620253333	0.6932270916334662
mRNA	Elastic Net	0.0031645569620253333	0.6972111553784861
mRNA	Elastic Net	0.0031645569620253333	0.701195219123506
mRNA	Elastic Net	0.0031645569620253333	0.7051792828685259
mRNA	Elastic Net	0.0031645569620253333	0.7091633466135459
mRNA	Elastic Net	0.0031645569620253333	0.7131474103585658
mRNA	Elastic Net	0.0031645569620253333	0.7171314741035857
mRNA	Elastic Net	0.0031645569620253333	0.7211155378486056
mRNA	Elastic Net	0.0031645569620253333	0.7250996015936255
mRNA	Elastic Net	0.0031645569620253333	0.7290836653386454
mRNA	Elastic Net	0.0031645569620253333	0.7330677290836654
mRNA	Elastic Net	0.0031645569620253333	0.7370517928286853
mRNA	Elastic Net	0.0031645569620253333	0.7410358565737052
mRNA	Elastic Net	0.0031645569620253333	0.7450199203187251
mRNA	Elastic Net	0.0031645569620253333	0.749003984063745
mRNA	Elastic Net	0.0031645569620253333	0.7529880478087649
mRNA	Elastic Net	0.0031645569620253333	0.7569721115537849
mRNA	Elastic Net	0.0031645569620253333	0.7609561752988048
mRNA	Elastic Net	0.0031645569620253333	0.7649402390438247
mRNA	Elastic Net	0.0031645569620253333	0.7689243027888446
mRNA	Elastic Net	0.0031645569620253333	0.7729083665338645
mRNA	Elastic Net	0.0031645569620253333	0.7768924302788844
mRNA	Elastic Net	0.0031645569620253333	0.7808764940239044
mRNA	Elastic Net	0.0031645569620253333	0.7848605577689243
mRNA	Elastic Net	0.0031645569620253333	0.7888446215139442
mRNA	Elastic Net	0.0031645569620253333	0.7928286852589641
mRNA	Elastic Net	0.0031645569620253333	0.796812749003984
mRNA	Elastic Net	0.0031645569620253333	0.8007968127490039
mRNA	Elastic Net	0.0031645569620253333	0.8047808764940239
mRNA	Elastic Net	0.0031645569620253333	0.8087649402390438
mRNA	Elastic Net	0.0031645569620253333	0.8127490039840638
mRNA	Elastic Net	0.0031645569620253333	0.8167330677290837
mRNA	Elastic Net	0.0031645569620253333	0.8207171314741036
mRNA	Elastic Net	0.006329113924050667	0.8207171314741036
mRNA	Elastic Net	0.006329113924050667	0.8247011952191236
mRNA	Elastic Net	0.006329113924050667	0.8286852589641435
mRNA	Elastic Net	0.006329113924050667	0.8326693227091634
mRNA	Elastic Net	0.006329113924050667	0.8366533864541833
mRNA	Elastic Net	0.006329113924050667	0.8406374501992032
mRNA	Elastic Net	0.006329113924050667	0.8446215139442231
mRNA	Elastic Net	0.006329113924050667	0.848605577689243
mRNA	Elastic Net	0.006329113924050667	0.852589641434263
mRNA	Elastic Net	0.006329113924050667	0.8565737051792829
mRNA	Elastic Net	0.006329113924050667	0.8605577689243028
mRNA	Elastic Net	0.006329113924050667	0.8645418326693227
mRNA	Elastic Net	0.009493670886076	0.8645418326693227
mRNA	Elastic Net	0.009493670886076	0.8685258964143426
mRNA	Elastic Net	0.009493670886076	0.8725099601593626
mRNA	Elastic Net	0.009493670886076	0.8764940239043825
mRNA	Elastic Net	0.009493670886076	0.8804780876494024
mRNA	Elastic Net	0.009493670886076	0.8844621513944223
mRNA	Elastic Net	0.009493670886076	0.8884462151394422
mRNA	Elastic Net	0.009493670886076	0.8924302788844621
mRNA	Elastic Net	0.009493670886076	0.896414342629482
mRNA	Elastic Net	0.009493670886076	0.900398406374502
mRNA	Elastic Net	0.009493670886076	0.9043824701195219
mRNA	Elastic Net	0.009493670886076	0.9083665338645418
mRNA	Elastic Net	0.009493670886076	0.9123505976095617
mRNA	Elastic Net	0.009493670886076	0.9163346613545816
mRNA	Elastic Net	0.009493670886076	0.9203187250996016
mRNA	Elastic Net	0.012658227848101222	0.9203187250996016
mRNA	Elastic Net	0.012658227848101222	0.9243027888446215
mRNA	Elastic Net	0.015822784810126556	0.9243027888446215
mRNA	Elastic Net	0.01898734177215189	0.9243027888446215
mRNA	Elastic Net	0.022151898734177222	0.9243027888446215
mRNA	Elastic Net	0.025316455696202556	0.9243027888446215
mRNA	Elastic Net	0.02848101265822789	0.9243027888446215
mRNA	Elastic Net	0.02848101265822789	0.9282868525896414
mRNA	Elastic Net	0.02848101265822789	0.9322709163346613
mRNA	Elastic Net	0.02848101265822789	0.9362549800796812
mRNA	Elastic Net	0.03164556962025311	0.9362549800796812
mRNA	Elastic Net	0.03164556962025311	0.9402390438247012
mRNA	Elastic Net	0.034810126582278444	0.9402390438247012
mRNA	Elastic Net	0.03797468354430378	0.9402390438247012
mRNA	Elastic Net	0.04113924050632911	0.9402390438247012
mRNA	Elastic Net	0.04113924050632911	0.9442231075697212
mRNA	Elastic Net	0.04113924050632911	0.9482071713147411
mRNA	Elastic Net	0.04113924050632911	0.952191235059761
mRNA	Elastic Net	0.04113924050632911	0.9561752988047809
mRNA	Elastic Net	0.044303797468354444	0.9561752988047809
mRNA	Elastic Net	0.04746835443037978	0.9561752988047809
mRNA	Elastic Net	0.04746835443037978	0.9601593625498008
mRNA	Elastic Net	0.05063291139240511	0.9601593625498008
mRNA	Elastic Net	0.05063291139240511	0.9641434262948207
mRNA	Elastic Net	0.05379746835443033	0.9641434262948207
mRNA	Elastic Net	0.05379746835443033	0.9681274900398407
mRNA	Elastic Net	0.05696202531645567	0.9681274900398407
mRNA	Elastic Net	0.060126582278481	0.9681274900398407
mRNA	Elastic Net	0.06329113924050633	0.9681274900398407
mRNA	Elastic Net	0.06329113924050633	0.9721115537848606
mRNA	Elastic Net	0.06329113924050633	0.9760956175298805
mRNA	Elastic Net	0.06645569620253167	0.9760956175298805
mRNA	Elastic Net	0.06645569620253167	0.9800796812749004
mRNA	Elastic Net	0.069620253164557	0.9800796812749004
mRNA	Elastic Net	0.07278481012658233	0.9800796812749004
mRNA	Elastic Net	0.07594936708860756	0.9800796812749004
mRNA	Elastic Net	0.07911392405063289	0.9800796812749004
mRNA	Elastic Net	0.08227848101265822	0.9800796812749004
mRNA	Elastic Net	0.08544303797468356	0.9800796812749004
mRNA	Elastic Net	0.08860759493670889	0.9800796812749004
mRNA	Elastic Net	0.09177215189873422	0.9800796812749004
mRNA	Elastic Net	0.09493670886075944	0.9800796812749004
mRNA	Elastic Net	0.09810126582278478	0.9800796812749004
mRNA	Elastic Net	0.10126582278481011	0.9800796812749004
mRNA	Elastic Net	0.10443037974683544	0.9800796812749004
mRNA	Elastic Net	0.10759493670886078	0.9800796812749004
mRNA	Elastic Net	0.10759493670886078	0.9840637450199203
mRNA	Elastic Net	0.11075949367088611	0.9840637450199203
mRNA	Elastic Net	0.11392405063291144	0.9840637450199203
mRNA	Elastic Net	0.11708860759493667	0.9840637450199203
