layer	value
mRNA	19684.5
mRNA	1448.33
mRNA	175.582
mRNA	1301.75
mRNA	0
mRNA	36.5582
mRNA	442.502
mRNA	783.333
mRNA	34.0694
mRNA	10.6313
mRNA	621.905
mRNA	243.169
mRNA	163.223
mRNA	1141
mRNA	369.569
mRNA	11.1727
mRNA	160.121
mRNA	5.0368
mRNA	424.061
mRNA	1729.71
mRNA	15.4839
mRNA	0.6385
mRNA	5.5278
mRNA	0.4751
mRNA	62.0513
mRNA	2.1931
mRNA	465.164
mRNA	368.458
mRNA	701.614
mRNA	0.2599
mRNA	216.801
mRNA	0
mRNA	178.186
mRNA	17.0009
mRNA	0
mRNA	3.0928
mRNA	111.848
mRNA	20.0484
mRNA	2291.73
mRNA	1488.38
mRNA	448.354
mRNA	27.4259
mRNA	1.6952
mRNA	0
mRNA	2805.74
mRNA	4.7506
mRNA	0
mRNA	1751.75
mRNA	31.6781
mRNA	855.369
mRNA	500.615
mRNA	319.634
mRNA	242.752
mRNA	381.14
mRNA	3318.16
mRNA	121.916
mRNA	24.4465
mRNA	77.2415
mRNA	391.577
mRNA	868.998
mRNA	4.3917
mRNA	1681.95
mRNA	1869.84
mRNA	5261.94
mRNA	899.124
mRNA	0
mRNA	1073.83
mRNA	3133.48
mRNA	322.356
mRNA	570.493
mRNA	5534.27
mRNA	1680.03
mRNA	0
mRNA	99.9504
mRNA	0
mRNA	418.571
mRNA	882.803
mRNA	864.573
mRNA	1574.8
mRNA	151.974
mRNA	1516.11
mRNA	4636.18
mRNA	1830.17
mRNA	9.1743
mRNA	69.6774
mRNA	1213.48
mRNA	0
mRNA	116.033
mRNA	376.711
mRNA	66.7389
mRNA	921.205
mRNA	416.129
mRNA	0
mRNA	22.6667
mRNA	0
mRNA	35.5674
mRNA	7.1443
mRNA	30.9956
mRNA	24.0852
mRNA	19.1549
mRNA	298.539
mRNA	0.6301
mRNA	681.306
mRNA	800.083
mRNA	0
mRNA	0
mRNA	0.2548
mRNA	244.644
mRNA	13.1772
mRNA	588.25
mRNA	188.907
mRNA	1095.27
mRNA	77.7042
mRNA	1282.93
mRNA	1014.19
mRNA	422.957
mRNA	1557.79
mRNA	2.1429
mRNA	2.5689
mRNA	44.9111
mRNA	2992.59
mRNA	143.05
mRNA	1.0331
mRNA	495.206
mRNA	28
mRNA	17.3655
mRNA	0
mRNA	148.255
mRNA	0.4711
mRNA	821.677
mRNA	2.0913
mRNA	3370.95
mRNA	3946.35
mRNA	353.256
mRNA	255.056
mRNA	0
mRNA	683.23
mRNA	270.561
mRNA	0
mRNA	271.291
mRNA	892.202
mRNA	15.7959
mRNA	497.923
mRNA	8896.29
mRNA	0
mRNA	2392.53
mRNA	801.952
mRNA	59.9369
mRNA	3029.92
mRNA	206.7
mRNA	1033.45
mRNA	28.5537
mRNA	1133.09
mRNA	80.6561
mRNA	676.762
mRNA	78.5806
mRNA	0
mRNA	0
mRNA	694.566
mRNA	27.914
mRNA	887.679
mRNA	1698.21
mRNA	1470
mRNA	1350.66
mRNA	841.642
mRNA	32.0873
mRNA	0
mRNA	135.98
mRNA	1216.93
mRNA	3093.55
mRNA	0.5701
mRNA	806.452
mRNA	243.86
mRNA	11.1657
mRNA	1303.5
mRNA	1163.64
mRNA	2.4748
mRNA	754.687
mRNA	1251.99
mRNA	917.446
mRNA	4728.34
mRNA	2896.76
mRNA	0.7855
mRNA	0
mRNA	843.875
mRNA	506.964
mRNA	546.965
mRNA	752.137
mRNA	0
mRNA	1017.09
mRNA	343.268
mRNA	545.743
mRNA	758.318
mRNA	428.607
mRNA	23.8908
mRNA	0
mRNA	84.6224
mRNA	34.432
mRNA	4114.21
mRNA	175.37
mRNA	682.285
mRNA	52.2555
mRNA	853.185
mRNA	24.1082
mRNA	230.273
mRNA	0
mRNA	3.2468
mRNA	1278.81
