layer	PC	variance_explained	variance_explained_percent
mRNA	PC308	5.434762957861155e-4	0.054
mRNA	PC309	5.412834158839679e-4	0.054
mRNA	PC310	5.38926944938304e-4	0.054
mRNA	PC311	5.36263996629158e-4	0.054
mRNA	PC312	5.353819934355041e-4	0.054
mRNA	PC313	5.338254237681055e-4	0.053
mRNA	PC314	5.311686310949504e-4	0.053
mRNA	PC315	5.272628265514366e-4	0.053
mRNA	PC316	5.246310158944816e-4	0.052
mRNA	PC317	5.204747365780715e-4	0.052
mRNA	PC318	5.171775480652596e-4	0.052
mRNA	PC319	5.160738683230954e-4	0.052
mRNA	PC320	5.145675270698444e-4	0.051
mRNA	PC321	5.127524830284274e-4	0.051
mRNA	PC322	5.104393114208537e-4	0.051
mRNA	PC323	5.074804102104283e-4	0.051
mRNA	PC324	5.042913575694736e-4	0.05
mRNA	PC325	5.028032690845939e-4	0.05
mRNA	PC326	4.966209393698442e-4	0.05
mRNA	PC327	4.931994989752569e-4	0.049
mRNA	PC328	4.921680587426547e-4	0.049
mRNA	PC329	4.910857603542304e-4	0.049
mRNA	PC330	4.886289048611222e-4	0.049
mRNA	PC331	4.8584011625611804e-4	0.049
mRNA	PC332	4.847344192790784e-4	0.048
mRNA	PC333	4.822636432111292e-4	0.048
mRNA	PC334	4.785858525887565e-4	0.048
mRNA	PC335	4.772352646936641e-4	0.048
mRNA	PC336	4.762257494626273e-4	0.048
mRNA	PC337	4.725934886040129e-4	0.047
mRNA	PC338	4.675585513700626e-4	0.047
mRNA	PC339	4.6488919519323914e-4	0.046
mRNA	PC340	4.642362962413942e-4	0.046
mRNA	PC341	4.633465677970768e-4	0.046
mRNA	PC342	4.607436787278299e-4	0.046
mRNA	PC343	4.571481444324081e-4	0.046
mRNA	PC344	4.54676881803319e-4	0.045
mRNA	PC345	4.531345030589452e-4	0.045
mRNA	PC346	4.5229703123028496e-4	0.045
mRNA	PC347	4.479629289438109e-4	0.045
mRNA	PC348	4.4638910569913185e-4	0.045
mRNA	PC349	4.4483395297043396e-4	0.044
mRNA	PC350	4.427032924939887e-4	0.044
mRNA	PC351	4.4149323544749803e-4	0.044
mRNA	PC352	4.3829865702916935e-4	0.044
mRNA	PC353	4.3669725240984487e-4	0.044
mRNA	PC354	4.344486332624771e-4	0.043
mRNA	PC355	4.3293322879795875e-4	0.043
mRNA	PC356	4.296112753196294e-4	0.043
mRNA	PC357	4.2753338515805564e-4	0.043
mRNA	PC358	4.2518123798412216e-4	0.043
mRNA	PC359	4.2351945711656294e-4	0.042
mRNA	PC360	4.2138590549956056e-4	0.042
mRNA	PC361	4.194804592251737e-4	0.042
mRNA	PC362	4.173023720950673e-4	0.042
mRNA	PC363	4.1495413109012886e-4	0.041
mRNA	PC364	4.118980065121949e-4	0.041
mRNA	PC365	4.1049296443405436e-4	0.041
mRNA	PC366	4.099580877244266e-4	0.041
mRNA	PC367	4.0653139501577076e-4	0.041
mRNA	PC368	4.0643693983045785e-4	0.041
mRNA	PC369	4.035493642585811e-4	0.04
mRNA	PC370	4.0076410679747046e-4	0.04
mRNA	PC371	4.000654552485711e-4	0.04
mRNA	PC372	3.978683504021508e-4	0.04
mRNA	PC373	3.9447358665044627e-4	0.039
mRNA	PC374	3.924957043823243e-4	0.039
mRNA	PC375	3.916732929198349e-4	0.039
mRNA	PC376	3.89489402865016e-4	0.039
mRNA	PC377	3.88412873231709e-4	0.039
mRNA	PC378	3.8688616854534686e-4	0.039
mRNA	PC379	3.8680260495413133e-4	0.039
mRNA	PC380	3.823070329396112e-4	0.038
mRNA	PC381	3.7934144906858435e-4	0.038
mRNA	PC382	3.787559970448562e-4	0.038
mRNA	PC383	3.779290329732592e-4	0.038
mRNA	PC384	3.752942365884678e-4	0.038
mRNA	PC385	3.7376915960642647e-4	0.037
mRNA	PC386	3.7206913909365873e-4	0.037
mRNA	PC387	3.7028512684865114e-4	0.037
mRNA	PC388	3.677100279689667e-4	0.037
mRNA	PC389	3.672082209458275e-4	0.037
mRNA	PC390	3.6277778981878785e-4	0.036
mRNA	PC391	3.6112241255089147e-4	0.036
mRNA	PC392	3.6076707911276225e-4	0.036
mRNA	PC393	3.5955444065156444e-4	0.036
mRNA	PC394	3.57807062519693e-4	0.036
mRNA	PC395	3.549554021718691e-4	0.035
mRNA	PC396	3.527925665078937e-4	0.035
mRNA	PC397	3.5027588165515425e-4	0.035
mRNA	PC398	3.494150998418819e-4	0.035
mRNA	PC399	3.484773242027811e-4	0.035
mRNA	PC400	3.471520292513997e-4	0.035
mRNA	PC401	3.4566607067468844e-4	0.035
mRNA	PC402	3.4426222140495976e-4	0.034
mRNA	PC403	3.419697444858112e-4	0.034
mRNA	PC404	3.3980872068974506e-4	0.034
mRNA	PC405	3.389164011038762e-4	0.034
mRNA	PC406	3.348649757313043e-4	0.033
mRNA	PC407	3.342627303994905e-4	0.033
mRNA	PC408	3.3145615358482427e-4	0.033
mRNA	PC409	3.301718570881481e-4	0.033
mRNA	PC410	3.286511970507795e-4	0.033
mRNA	PC411	3.250764992551858e-4	0.033
mRNA	PC412	3.246318485673328e-4	0.032
mRNA	PC413	3.217447420371025e-4	0.032
mRNA	PC414	3.196766712035837e-4	0.032
mRNA	PC415	3.1891899080644477e-4	0.032
mRNA	PC416	3.169795131060057e-4	0.032
mRNA	PC417	3.1616134573247577e-4	0.032
mRNA	PC418	3.139476642758492e-4	0.031
mRNA	PC419	3.12965380712651e-4	0.031
mRNA	PC420	3.123020631108757e-4	0.031
mRNA	PC421	3.100031826075123e-4	0.031
mRNA	PC422	3.0834793861319796e-4	0.031
mRNA	PC423	3.064540593892929e-4	0.031
mRNA	PC424	3.057645094400858e-4	0.031
mRNA	PC425	3.0362518255872613e-4	0.03
mRNA	PC426	3.0216798943835785e-4	0.03
mRNA	PC427	3.0141657645176435e-4	0.03
mRNA	PC428	2.9983830230896304e-4	0.03
mRNA	PC429	2.9798179293114957e-4	0.03
mRNA	PC430	2.962315249465378e-4	0.03
mRNA	PC431	2.928469506913393e-4	0.029
mRNA	PC432	2.922457999836901e-4	0.029
mRNA	PC433	2.901745069056074e-4	0.029
mRNA	PC434	2.8879361128082763e-4	0.029
mRNA	PC435	2.8800147968083577e-4	0.029
mRNA	PC436	2.8395728189759727e-4	0.028
mRNA	PC437	0.00028313981615463223	0.028
mRNA	PC438	2.821342557053796e-4	0.028
mRNA	PC439	2.801790963520807e-4	0.028
mRNA	PC440	2.772069021931179e-4	0.028
mRNA	PC441	2.7693275925562373e-4	0.028
mRNA	PC442	2.738627636833711e-4	0.027
mRNA	PC443	2.726336614693774e-4	0.027
mRNA	PC444	2.721580275874256e-4	0.027
mRNA	PC445	2.691530728702617e-4	0.027
mRNA	PC446	2.690073461470185e-4	0.027
mRNA	PC447	2.6817770616731704e-4	0.027
mRNA	PC448	2.657276296425849e-4	0.027
mRNA	PC449	2.6467118300579624e-4	0.026
mRNA	PC450	2.622927521012752e-4	0.026
mRNA	PC451	2.6086148355040494e-4	0.026
mRNA	PC452	2.591820819474989e-4	0.026
mRNA	PC453	2.5830264833937223e-4	0.026
mRNA	PC454	2.567972924640219e-4	0.026
mRNA	PC455	2.5491770451173e-4	0.025
mRNA	PC456	2.5436254581776734e-4	0.025
mRNA	PC457	2.517109918664505e-4	0.025
mRNA	PC458	2.4957296028052284e-4	0.025
mRNA	PC459	2.4857979203343083e-4	0.025
mRNA	PC460	2.4683572359461765e-4	0.025
mRNA	PC461	2.4606446963489477e-4	0.025
mRNA	PC462	2.4459729316566795e-4	0.024
mRNA	PC463	2.4417427096790057e-4	0.024
mRNA	PC464	2.4365789003422177e-4	0.024
mRNA	PC465	2.4231073105603375e-4	0.024
mRNA	PC466	2.4022512278075485e-4	0.024
mRNA	PC467	2.3866456785074107e-4	0.024
mRNA	PC468	2.3720659704527347e-4	0.024
mRNA	PC469	2.3582396801786597e-4	0.024
mRNA	PC470	2.3433591257117315e-4	0.023
mRNA	PC471	2.322272601733316e-4	0.023
mRNA	PC472	2.31782550023186e-4	0.023
mRNA	PC473	2.3067628901552283e-4	0.023
mRNA	PC474	2.28441056005695e-4	0.023
mRNA	PC475	2.2728068643016174e-4	0.023
mRNA	PC476	2.2668388848808628e-4	0.023
mRNA	PC477	2.2566703130409992e-4	0.023
mRNA	PC478	2.235805710664414e-4	0.022
mRNA	PC479	2.2102600823914494e-4	0.022
mRNA	PC480	2.2014100504059173e-4	0.022
mRNA	PC481	2.18744947960339e-4	0.022
mRNA	PC482	2.166911692030529e-4	0.022
mRNA	PC483	2.1600740031494078e-4	0.022
mRNA	PC484	2.131794585492654e-4	0.021
mRNA	PC485	2.1202416848048057e-4	0.021
mRNA	PC486	2.1126343299661597e-4	0.021
mRNA	PC487	2.095996691569331e-4	0.021
mRNA	PC488	2.0892091056756574e-4	0.021
mRNA	PC489	2.0637626093372878e-4	0.021
mRNA	PC490	2.0524535159115347e-4	0.021
mRNA	PC491	2.0423468162529966e-4	0.02
mRNA	PC492	2.0333367222637833e-4	0.02
mRNA	PC493	2.025127340762873e-4	0.02
mRNA	PC494	1.9981303638349574e-4	0.02
mRNA	PC495	1.9905714023656473e-4	0.02
mRNA	PC496	1.9724226567813087e-4	0.02
mRNA	PC497	1.9582733454033053e-4	0.02
mRNA	PC498	1.9505602915139783e-4	0.02
mRNA	PC499	1.9399256888851047e-4	0.019
mRNA	PC500	1.918180960010484e-4	0.019
mRNA	PC501	1.9046080869073698e-4	0.019
mRNA	PC502	1.8883121071874002e-4	0.019
mRNA	PC503	1.8828808344172035e-4	0.019
mRNA	PC504	1.8772974566965585e-4	0.019
mRNA	PC505	1.8383663079717105e-4	0.018
mRNA	PC506	1.8201160410605762e-4	0.018
mRNA	PC507	1.8100831630450448e-4	0.018
mRNA	PC508	1.8018273364860145e-4	0.018
mRNA	PC509	1.7923763768243136e-4	0.018
mRNA	PC510	1.781916471923925e-4	0.018
mRNA	PC511	1.7718162209925993e-4	0.018
mRNA	PC512	1.7597952287460358e-4	0.018
mRNA	PC513	1.7260041054664358e-4	0.017
mRNA	PC514	1.7112287220881017e-4	0.017
mRNA	PC515	1.6939863728212444e-4	0.017
mRNA	PC516	1.6734314456477018e-4	0.017
mRNA	PC517	1.6639967428736866e-4	0.017
mRNA	PC518	1.6521162981080734e-4	0.017
mRNA	PC519	1.644506430114102e-4	0.016
mRNA	PC520	1.6298664440225915e-4	0.016
mRNA	PC521	1.6208849804955983e-4	0.016
mRNA	PC522	1.614870493982428e-4	0.016
mRNA	PC523	0.00015813831712843597	0.016
mRNA	PC524	1.569905322684243e-4	0.016
mRNA	PC525	1.552300955402705e-4	0.016
mRNA	PC526	1.5296975697283774e-4	0.015
mRNA	PC527	1.5210532527851263e-4	0.015
mRNA	PC528	1.5107783707515298e-4	0.015
mRNA	PC529	1.4768121760671223e-4	0.015
mRNA	PC530	1.4661703874516957e-4	0.015
mRNA	PC531	1.4521272591219378e-4	0.015
mRNA	PC532	1.4313819334710022e-4	0.014
mRNA	PC533	1.4294706471212703e-4	0.014
mRNA	PC534	1.4178585458387292e-4	0.014
mRNA	PC535	1.410856975831719e-4	0.014
mRNA	PC536	1.3970497474048997e-4	0.014
mRNA	PC537	1.3780692323191776e-4	0.014
mRNA	PC538	1.353285606711766e-4	0.014
mRNA	PC539	1.3462222705597243e-4	0.013
mRNA	PC540	1.327392007317187e-4	0.013
mRNA	PC541	1.31493691202289e-4	0.013
mRNA	PC542	1.2991015702219582e-4	0.013
mRNA	PC543	1.2880523047945308e-4	0.013
mRNA	PC544	1.2789734231590685e-4	0.013
mRNA	PC545	1.2632179219345763e-4	0.013
mRNA	PC546	1.2471407052932438e-4	0.012
mRNA	PC547	1.2444784157068995e-4	0.012
mRNA	PC548	1.2300674398131166e-4	0.012
mRNA	PC549	1.2026009652254968e-4	0.012
mRNA	PC550	1.1717319509865132e-4	0.012
mRNA	PC551	1.1667583077070165e-4	0.012
mRNA	PC552	1.1323493294094216e-4	0.011
mRNA	PC553	1.1118595185994715e-4	0.011
mRNA	PC554	1.089010402196086e-4	0.011
mRNA	PC555	1.0766506778788954e-4	0.011
mRNA	PC556	1.0762373714477054e-4	0.011
mRNA	PC557	1.0411994839652677e-4	0.01
mRNA	PC558	1.0307939040160843e-4	0.01
mRNA	PC559	1.0175454413309735e-4	0.01
mRNA	PC560	1.0123742838534793e-4	0.01
mRNA	PC561	9.75873824831195e-5	0.01
mRNA	PC562	9.246996617639258e-5	0.009
mRNA	PC563	9.013724101332683e-5	0.009
mRNA	PC564	8.626881241961535e-5	0.009
mRNA	PC565	7.214639760588693e-5	0.007
mRNA	PC566	6.459197559307587e-5	0.006
mRNA	PC567	2.118409862947415e-32	0
DNA methylation	PC1	0.2022435996601714	20.224
DNA methylation	PC2	0.10989485083125532	10.989
DNA methylation	PC3	0.06601512613544082	6.602
DNA methylation	PC4	0.059437359389498234	5.944
DNA methylation	PC5	0.03416297013107224	3.416
DNA methylation	PC6	0.027624407907827535	2.762
DNA methylation	PC7	0.016501665090265807	1.65
DNA methylation	PC8	0.012323661068563283	1.232
DNA methylation	PC9	0.011271609770597284	1.127
DNA methylation	PC10	0.009179720901536095	0.918
DNA methylation	PC11	0.00901134812027041	0.901
DNA methylation	PC12	0.007541288352514351	0.754
DNA methylation	PC13	0.007112810206616633	0.711
DNA methylation	PC14	0.006309874760101361	0.631
DNA methylation	PC15	0.005839535042875014	0.584
DNA methylation	PC16	0.00577509068496782	0.578
DNA methylation	PC17	0.005004930813256148	0.5
DNA methylation	PC18	0.004583114459854052	0.458
DNA methylation	PC19	0.0043256554039487125	0.433
