layer	PC	PC_number	variance_explained	variance_explained_percent
DNA methylation	PC91	91	0.001318117645294463	0.132
DNA methylation	PC92	92	0.0013117116460519976	0.131
DNA methylation	PC93	93	0.0013027422758759512	0.13
DNA methylation	PC94	94	0.001293978574192126	0.129
DNA methylation	PC95	95	0.0012810934528020962	0.128
DNA methylation	PC96	96	0.0012681013445647355	0.127
DNA methylation	PC97	97	0.0012643750670145774	0.126
DNA methylation	PC98	98	0.001256009305393138	0.126
DNA methylation	PC99	99	0.0012456287258098646	0.125
DNA methylation	PC100	100	0.001236542041792745	0.124
DNA methylation	PC101	101	0.0012307409107871975	0.123
DNA methylation	PC102	102	0.0012195254615540493	0.122
DNA methylation	PC103	103	0.0012114999888483283	0.121
DNA methylation	PC104	104	0.0012028014690309721	0.12
DNA methylation	PC105	105	0.0011912561272410156	0.119
DNA methylation	PC106	106	0.0011896226756521549	0.119
DNA methylation	PC107	107	0.0011844914583773155	0.118
DNA methylation	PC108	108	0.0011737295626998297	0.117
DNA methylation	PC109	109	0.001165837902522957	0.117
DNA methylation	PC110	110	0.0011556232460881006	0.116
DNA methylation	PC111	111	0.0011528378237186606	0.115
DNA methylation	PC112	112	0.0011450279936935823	0.115
DNA methylation	PC113	113	0.001137789502788173	0.114
DNA methylation	PC114	114	0.0011333413104825918	0.113
DNA methylation	PC115	115	0.0011314730446638761	0.113
DNA methylation	PC116	116	0.0011174404470574008	0.112
DNA methylation	PC117	117	0.001107767857302185	0.111
DNA methylation	PC118	118	0.0011045275770411279	0.11
DNA methylation	PC119	119	0.0011032354885268777	0.11
DNA methylation	PC120	120	0.001095685636235751	0.11
DNA methylation	PC121	121	0.0010877096724851722	0.109
DNA methylation	PC122	122	0.0010825805796400281	0.108
DNA methylation	PC123	123	0.0010729736654776585	0.107
DNA methylation	PC124	124	0.001069539788030555	0.107
DNA methylation	PC125	125	0.00106565666608696	0.107
DNA methylation	PC126	126	0.0010575634452701225	0.106
DNA methylation	PC127	127	0.0010558319321635797	0.106
DNA methylation	PC128	128	0.0010525652445737646	0.105
DNA methylation	PC129	129	0.0010429940729367183	0.104
DNA methylation	PC130	130	0.0010415914661583007	0.104
DNA methylation	PC131	131	0.0010362771022175597	0.104
DNA methylation	PC132	132	0.001030410486375085	0.103
DNA methylation	PC133	133	0.0010250473068929024	0.103
DNA methylation	PC134	134	0.001023008560097689	0.102
DNA methylation	PC135	135	0.0010212516859271043	0.102
DNA methylation	PC136	136	0.0010190913029165002	0.102
DNA methylation	PC137	137	0.0010083573966306826	0.101
DNA methylation	PC138	138	0.0010044711011610624	0.1
DNA methylation	PC139	139	0.0010029916805091345	0.1
DNA methylation	PC140	140	9.956931214370195e-4	0.1
DNA methylation	PC141	141	9.90804311317618e-4	0.099
DNA methylation	PC142	142	9.849248028334003e-4	0.098
DNA methylation	PC143	143	9.807808926417493e-4	0.098
DNA methylation	PC144	144	9.705352037005634e-4	0.097
DNA methylation	PC145	145	9.699761386063022e-4	0.097
DNA methylation	PC146	146	9.672588141868413e-4	0.097
DNA methylation	PC147	147	9.623412715122143e-4	0.096
DNA methylation	PC148	148	9.586789958157725e-4	0.096
DNA methylation	PC149	149	9.532588226107448e-4	0.095
DNA methylation	PC150	150	9.507290895510712e-4	0.095
DNA methylation	PC151	151	0.00094748379756118945	0.095
DNA methylation	PC152	152	9.418024733787381e-4	0.094
DNA methylation	PC153	153	9.351577108532429e-4	0.094
DNA methylation	PC154	154	9.289017527122788e-4	0.093
DNA methylation	PC155	155	9.271286574889759e-4	0.093
DNA methylation	PC156	156	0.00092178173500577585	0.092
