layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
DNA methylation	1	BRDT.2	2	0.017266172951080135	0.017266172951080135
DNA methylation	1	RAPGEFL1.17	2	0.016989806078781772	0.016989806078781772
DNA methylation	1	VANGL2.6	2	0.016473470502224714	0.016473470502224714
DNA methylation	1	KCNT1.42	2	0.014865488995917608	0.014865488995917608
DNA methylation	1	HRNBP3.112	2	0.012909334136129224	0.012909334136129224
DNA methylation	1	TM4SF19.9	2	0.010779186169897597	0.010779186169897597
DNA methylation	1	feature_77773	2	0.01072913897078485	0.01072913897078485
DNA methylation	1	CCDC88C.29	2	0.008515564773858108	0.008515564773858108
DNA methylation	1	feature_262061	2	0.006410588925243571	0.006410588925243571
DNA methylation	1	feature_82595	2	0.005420929620131657	0.005420929620131657
DNA methylation	1	KCNT1.35	2	0.0046436523128667254	0.0046436523128667254
DNA methylation	1	ZHX2.39	1	0.24896495476523864	0.24896495476523864
DNA methylation	1	feature_265572	1	0.23844348236006205	0.23844348236006205
DNA methylation	1	TRPS1.17	1	0.09785421367391474	0.09785421367391474
DNA methylation	1	TP73.8	1	0.09067620586150735	0.09067620586150735
DNA methylation	1	KIAA0513.10	1	0.06839216110159797	0.06839216110159797
DNA methylation	1	LRRC17;FBXL13.7	1	0.0631085452987474	0.0631085452987474
DNA methylation	1	FOXK1.49	1	0.05791188875684472	0.05791188875684472
DNA methylation	1	feature_210349	1	0.04031083325069249	0.04031083325069249
DNA methylation	1	GDNF.33	1	0.03147499445346611	0.03147499445346611
DNA methylation	1	feature_27518	1	0.031403699645565775	0.031403699645565775
DNA methylation	1	HOPX.20	1	0.026691954977961754	0.026691954977961754
DNA methylation	1	HOPX.19	1	0.02363145357757029	0.02363145357757029
DNA methylation	1	DENND2A.12	1	0.010190493367834511	0.010190493367834511
DNA methylation	1	feature_119011	1	0.01012782050728643	0.01012782050728643
DNA methylation	1	SLC22A20.9	1	0.009556882892582386	0.009556882892582386
DNA methylation	1	CPLX2.38	1	0.006840020142897157	0.006840020142897157
DNA methylation	1	EPHX3.10	1	0.005728271851016443	0.005728271851016443
DNA methylation	1	feature_380192	1	0.0016838480184898565	0.0016838480184898565
DNA methylation	1	ANK1.68	1	7.804872786643591e-4	7.804872786643591e-4
DNA methylation	2	feature_348516	5	0.5532809794669393	0.5853044647213911
DNA methylation	2	feature_388837	5	0.20752412181916544	0.24229086609807735
DNA methylation	2	feature_90515	5	0.18969947666474873	0.19725489871722982
DNA methylation	2	feature_20962	5	0.1301373418377824	0.14466854348092065
DNA methylation	2	IL20RA.12	4	0.29470552740525807	0.2732396183394018
DNA methylation	2	feature_295235	4	0.18258295719892711	0.18305519575976992
